object_layer,startTime,neigborhoodSize,percent,nOfPtsInIMG,epsilon,minPts,cluPts/outPts,TP,FP,TN,FN,incHits,similarity[%],AVGclusterheight,endTime,latency
object_A11_layer_290.png,6303295689100,10,0.1,2500,1.5,7,37.6,0,0,0,0,0,NaN,NaN,6303885283900,"589,5948"
object_A11_layer_291.png,6303886750800,10,0.1,2500,1.5,7,52.8,0,0,0,0,0,0.0,2.0,6303905031700,"18,2809"
object_A11_layer_292.png,6303906390600,10,0.1,2500,1.5,7,41.6,0,0,0,0,0,0.0,2.5,6303921562200,"15,1716"
object_A11_layer_293.png,6303922882000,10,0.1,2500,1.5,7,48.0,0,0,0,0,0,0.0,2.142857142857143,6303937939400,"15,0574"
object_A11_layer_294.png,6303939511600,10,0.1,2500,1.5,7,56.0,0,0,0,0,0,0.0,2.4,6303960492500,"20,9809"
object_A11_layer_295.png,6303961515200,10,0.1,2500,1.5,7,54.0,0,0,0,0,0,0.0,2.4,6303980508000,"18,9928"
object_A11_layer_296.png,6303981941100,10,0.1,2500,1.5,7,66.0,0,0,0,0,0,0.0,2.357142857142857,6303995241000,"13,2999"
object_A11_layer_297.png,6303997330900,10,0.1,2500,1.5,7,29.6,0,0,0,0,0,0.0,2.466666666666667,6304008664400,"11,3335"
object_A11_layer_298.png,6304009631700,10,0.1,2500,1.5,7,74.0,0,0,0,0,0,0.0,2.6666666666666665,6304025158000,"15,5263"
object_A11_layer_299.png,6304026572600,10,0.1,2500,1.5,7,53.6,0,0,0,0,0,0.0,2.789473684210526,6304039287000,"12,7144"
object_A11_layer_300.png,6304040719300,10,0.1,2500,1.5,7,49.2,0,0,0,0,0,0.0,2.611111111111111,6304051040400,"10,3211"
object_A11_layer_301.png,6304051925400,10,0.1,2500,1.5,7,42.0,0,0,0,0,0,0.0,3.0476190476190474,6304064720700,"12,7953"
object_A11_layer_302.png,6304065689200,10,0.1,2500,1.5,7,52.0,0,0,0,0,0,0.0,2.9523809523809526,6304076594600,"10,9054"
object_A11_layer_303.png,6304077863300,10,0.1,2500,1.5,7,40.4,0,0,0,0,0,0.0,2.772727272727273,6304128773800,"50,9105"
object_A11_layer_304.png,6304129919000,10,0.1,2500,1.5,7,54.4,0,0,0,0,0,0.0,2.6296296296296298,6304142326400,"12,4074"
object_A11_layer_305.png,6304144159400,10,0.1,2500,1.5,7,58.4,0,0,0,0,0,0.0,2.6551724137931036,6304155000000,"10,8406"
object_A11_layer_306.png,6304156447000,10,0.1,2500,1.5,7,55.2,0,0,0,0,0,0.0,2.6774193548387095,6304168078000,"11,631"
object_A11_layer_307.png,6304169097500,10,0.1,2500,1.5,7,47.2,0,0,0,0,0,0.0,2.6363636363636362,6304181075600,"11,9781"
