object_layer,startTime,neigborhoodSize,percent,nOfPtsInIMG,epsilon,minPts,cluPts/outPts,TP,FP,TN,FN,incHits,similarity[%],AVGclusterheight,endTime,latency
object_B10_layer_290.png,6437077079700,10,00.05,2500,1.5,7,33.6,0,0,0,0,0,NaN,NaN,6437694560900,"617,4812"
object_B10_layer_291.png,6437702355400,10,00.05,2500,1.5,7,27.2,0,0,0,0,0,0.0,0.0,6437727150300,"24,7949"
object_B10_layer_292.png,6437728356500,10,00.05,2500,1.5,7,24.8,0,0,0,0,0,0.0,2.0,6437740066700,"11,7102"
object_B10_layer_293.png,6437741008200,10,00.05,2500,1.5,7,22.4,0,0,0,0,0,0.0,2.0,6437752148200,"11,14"
object_B10_layer_294.png,6437754015500,10,00.05,2500,1.5,7,30.4,0,0,0,0,0,0.0,2.0,6437764941400,"10,9259"
object_B10_layer_295.png,6437766373300,10,00.05,2500,1.5,7,44.8,0,0,0,0,0,0.0,2.0,6437778208400,"11,8351"
object_B10_layer_296.png,6437779615700,10,00.05,2500,1.5,7,35.2,0,0,0,0,0,0.0,2.0,6437789736700,"10,121"
object_B10_layer_297.png,6437791007700,10,00.05,2500,1.5,7,9.6,0,0,0,0,0,0.0,2.0,6437802214100,"11,2064"
object_B10_layer_298.png,6437803582300,10,00.05,2500,1.5,7,37.6,0,0,0,0,0,0.0,2.0,6437815158300,"11,576"
object_B10_layer_299.png,6437816987200,10,00.05,2500,1.5,7,24.0,0,0,0,0,0,0.0,2.0,6437831426600,"14,4394"
object_B10_layer_300.png,6437832659800,10,00.05,2500,1.5,7,31.2,0,0,0,0,0,0.0,2.0,6437843041200,"10,3814"
object_B10_layer_301.png,6437844127600,10,00.05,2500,1.5,7,8.0,0,0,0,0,0,0.0,2.0,6437854399500,"10,2719"
object_B10_layer_302.png,6437856234200,10,00.05,2500,1.5,7,23.2,0,0,0,0,0,0.0,2.0,6437866359100,"10,1249"
object_B10_layer_303.png,6437867697600,10,00.05,2500,1.5,7,0.0,0,0,0,0,0,0.0,2.0,6437879260200,"11,5626"
object_B10_layer_304.png,6437880663600,10,00.05,2500,1.5,7,19.2,0,0,0,0,0,0.0,2.0,6437890004700,"9,3411"
