object_layer,startTime,neigborhoodSize,percent,nOfPtsInIMG,epsilon,minPts,cluPts/outPts,TP,FP,TN,FN,incHits,similarity[%],AVGclusterheight,endTime,latency
object_C4_layer_290.png,6619115088400,10,00.05,2500,1.5,7,35.2,0,0,0,0,0,NaN,NaN,6619713740800,"598,6524"
object_C4_layer_291.png,6619715144700,10,00.05,2500,1.5,7,12.8,0,0,0,0,0,0.0,0.0,6619741226100,"26,0814"
object_C4_layer_292.png,6619742443300,10,00.05,2500,1.5,7,0.0,0,0,0,0,0,0.0,0.0,6619758190100,"15,7468"
object_C4_layer_293.png,6619759648000,10,00.05,2500,1.5,7,36.8,0,0,0,0,0,0.0,0.0,6619770094700,"10,4467"
object_C4_layer_294.png,6619771286900,10,00.05,2500,1.5,7,0.0,0,0,0,0,0,0.0,0.0,6619789841300,"18,5544"
object_C4_layer_295.png,6619790934700,10,00.05,2500,1.5,7,23.2,0,0,0,0,0,0.0,0.0,6619801514000,"10,5793"
object_C4_layer_296.png,6619802549300,10,00.05,2500,1.5,7,13.6,0,0,0,0,0,0.0,2.0,6619813089300,"10,54"
object_C4_layer_297.png,6619814639300,10,00.05,2500,1.5,7,9.6,0,0,0,0,0,0.0,2.0,6619824491800,"9,8525"
object_C4_layer_298.png,6619825441600,10,00.05,2500,1.5,7,9.6,0,0,0,0,0,0.0,2.0,6619835820300,"10,3787"
object_C4_layer_299.png,6619837517400,10,00.05,2500,1.5,7,32.0,0,0,0,0,0,0.0,2.0,6619848162500,"10,6451"
object_C4_layer_300.png,6619849135500,10,00.05,2500,1.5,7,21.6,0,0,0,0,0,0.0,2.0,6619859751200,"10,6157"
object_C4_layer_301.png,6619860735600,10,00.05,2500,1.5,7,24.0,0,0,0,0,0,0.0,2.0,6619870412700,"9,6771"
object_C4_layer_302.png,6619871240600,10,00.05,2500,1.5,7,27.2,0,0,0,0,0,0.0,2.0,6619886247300,"15,0067"
object_C4_layer_303.png,6619887225000,10,00.05,2500,1.5,7,13.6,0,0,0,0,0,0.0,2.0,6619897134800,"9,9098"
object_C4_layer_304.png,6619899028900,10,00.05,2500,1.5,7,17.6,0,0,0,0,0,0.0,2.0,6619908647800,"9,6189"
object_C4_layer_305.png,6619909667300,10,00.05,2500,1.5,7,12.8,0,0,0,0,0,0.0,2.0,6619921073700,"11,4064"
object_C4_layer_306.png,6619922700600,10,00.05,2500,1.5,7,20.8,0,0,0,0,0,0.0,2.3333333333333335,6619932262500,"9,5619"
object_C4_layer_307.png,6619933247600,10,00.05,2500,1.5,7,6.4,0,0,0,0,0,0.0,2.2,6619944115100,"10,8675"
object_C4_layer_308.png,6619945152000,10,00.05,2500,1.5,7,6.4,0,0,0,0,0,0.0,2.2,6619954540700,"9,3887"
object_C4_layer_309.png,6619955484900,10,00.05,2500,1.5,7,6.4,0,0,0,0,0,0.0,2.2,6619965087300,"9,6024"
