object_layer,startTime,neigborhoodSize,percent,nOfPtsInIMG,epsilon,minPts,cluPts/outPts,TP,FP,TN,FN,incHits,similarity[%],AVGclusterheight,endTime
object_A11_layer_290.png,181569006265900,10,0.05,2500,1.5,7,28.0,0,35,2465,0,0,NaN,NaN,181570520850600
object_A11_layer_291.png,181570523871200,10,0.05,2500,1.5,7,68.8,0,121,4879,0,0,0.0,0.0,181570581293500
object_A11_layer_292.png,181570583593200,10,0.05,2500,1.5,7,31.2,0,160,7340,0,0,0.0,0.0,181570617337900
object_A11_layer_293.png,181570620275200,10,0.05,2500,1.5,7,42.4,13,200,9787,0,0,0.0,2.0,181570654094400
object_A11_layer_294.png,181570656692900,10,0.05,2500,1.5,7,23.2,34,208,12257,1,0,0.1519097222222222,2.0,181570685992500
object_A11_layer_295.png,181570696080800,10,0.05,2500,1.5,7,58.4,34,281,14684,1,2,0.0,2.0,181570724989400
object_A11_layer_296.png,181570727399500,10,0.05,2500,1.5,7,73.6,34,373,17092,1,2,0.1953125,2.0,181570760978600
object_A11_layer_297.png,181570763386200,10,0.05,2500,1.5,7,40.8,51,407,19541,1,2,0.1410590277777778,2.2,181570792282600
object_A11_layer_298.png,181570795502200,10,0.05,2500,1.5,7,57.6,109,421,21969,1,2,0.08680555555555555,2.6666666666666665,181570826754200
object_A11_layer_299.png,181570829742000,10,0.05,2500,1.5,7,56.0,128,472,24399,1,2,0.054253472222222224,2.2222222222222223,181570862588400
object_A11_layer_300.png,181570865116300,10,0.05,2500,1.5,7,63.2,154,525,26820,1,4,0.2495659722222222,2.3,181570899279200
object_A11_layer_301.png,181570902054800,10,0.05,2500,1.5,7,32.8,154,566,29279,1,6,0.2821180555555556,2.6153846153846154,181570936453100
object_A11_layer_302.png,181570939280600,10,0.05,2500,1.5,7,47.2,172,607,31720,1,7,0.021701388888888888,2.6923076923076925,181570970504500
object_A11_layer_303.png,181570972769300,10,0.05,2500,1.5,7,43.2,172,661,34166,1,7,0.20616319444444445,2.3157894736842106,181571003974200
object_A11_layer_304.png,181571006558400,10,0.05,2500,1.5,7,51.2,194,703,36602,1,8,0.032552083333333336,2.3529411764705883,181571038979400
object_A11_layer_305.png,181571041762700,10,0.05,2500,1.5,7,49.6,194,765,39040,1,9,0.0759548611111111,2.3333333333333335,181571071920400
object_A11_layer_306.png,181571074903400,10,0.05,2500,1.5,7,40.8,194,816,41489,1,9,0.0759548611111111,2.3,181571106646600
object_A11_layer_307.png,181571112084800,10,0.05,2500,1.5,7,46.4,194,874,43931,1,9,0.08680555555555555,2.35,181571174198600
object_A11_layer_308.png,181571178992000,10,0.05,2500,1.5,7,12.8,194,890,46415,1,9,0.16276041666666666,2.4347826086956523,181571334300000
object_A11_layer_309.png,181571343432900,10,0.05,2500,1.5,7,64.0,194,970,48835,1,9,0.0,2.380952380952381,181571371532400
object_A11_layer_310.png,181571373741800,10,0.05,2500,1.5,7,34.4,194,1013,51292,1,9,0.0759548611111111,2.347826086956522,181571402499600
object_A11_layer_311.png,181571404806100,10,0.05,2500,1.5,7,61.6,194,1090,53715,1,9,0.021701388888888888,2.347826086956522,181571430504200
object_A11_layer_312.png,181571433596900,10,0.05,2500,1.5,7,40.8,215,1120,56164,1,9,0.0,2.32,181571467554100
object_A11_layer_313.png,181571472296900,10,0.05,2500,1.5,7,50.4,215,1183,58601,1,10,0.0,2.32,181571522316300
object_A11_layer_314.png,181571528043900,10,0.05,2500,1.5,7,35.2,215,1227,61057,1,10,0.0,2.32,181571579098700
object_A11_layer_315.png,181571584015500,10,0.05,2500,1.5,7,32.8,239,1244,63516,1,10,0.0,2.32,181571651804100
object_A11_layer_316.png,181571657258800,10,0.05,2500,1.5,7,69.6,239,1331,65929,1,10,0.0,2.32,181571717879900
object_A11_layer_317.png,181571722643300,10,0.05,2500,1.5,7,34.4,239,1374,68386,1,10,0.1193576388888889,2.3076923076923075,181571774573900
object_A11_layer_318.png,181571778862500,10,0.05,2500,1.5,7,32.0,239,1414,70846,1,10,0.0,2.3076923076923075,181571829052600
object_A11_layer_319.png,181571833545400,10,0.05,2500,1.5,7,23.2,239,1443,73317,1,10,0.0,2.3076923076923075,181571881211000
object_A11_layer_320.png,181571886634900,10,0.05,2500,1.5,7,52.8,283,1465,75751,1,10,0.0,2.3076923076923075,181571942031300
object_A11_layer_321.png,181571947989900,10,0.05,2500,1.5,7,41.6,283,1517,78199,1,10,0.054253472222222224,2.2962962962962963,181572008202000
object_A11_layer_322.png,181572013668200,10,0.05,2500,1.5,7,55.2,330,1539,80630,1,11,0.0,2.357142857142857,181572085625100
object_A11_layer_323.png,181572091690500,10,0.05,2500,1.5,7,32.8,330,1580,83089,1,12,0.08680555555555555,2.3214285714285716,181572144719200
object_A11_layer_324.png,181572150260400,10,0.05,2500,1.5,7,76.0,390,1615,85494,1,13,0.2495659722222222,2.28125,181572207751800
object_A11_layer_325.png,181572213921800,10,0.05,2500,1.5,7,58.4,390,1688,87921,1,14,0.1953125,2.3548387096774195,181572272411900
object_A11_layer_326.png,181572278417600,10,0.05,2500,1.5,7,36.8,407,1717,90375,1,15,0.0,2.3548387096774195,181572331758200
object_A11_layer_327.png,181572337635500,10,0.05,2500,1.5,7,50.4,451,1736,92812,1,15,0.021701388888888888,2.3333333333333335,181572408176500
object_A11_layer_328.png,181572414255100,10,0.05,2500,1.5,7,34.4,464,1766,95269,1,16,0.08680555555555555,2.375,181572470673000
object_A11_layer_329.png,181572475252000,10,0.05,2500,1.5,7,72.0,525,1795,97679,1,16,0.0,2.375,181572540944200
object_A11_layer_330.png,181572548167900,10,0.05,2500,1.5,7,60.8,541,1855,100103,1,16,0.2387152777777778,2.3333333333333335,181572615780800
object_A11_layer_331.png,181572620513900,10,0.05,2500,1.5,7,74.4,598,1891,102510,1,18,0.0759548611111111,2.3333333333333335,181572677835500
object_A11_layer_332.png,181572683980100,10,0.05,2500,1.5,7,50.4,598,1954,104947,1,19,0.22786458333333334,2.3513513513513513,181572738515400
object_A11_layer_333.png,181572742837100,10,0.05,2500,1.5,7,72.8,654,1989,107356,1,20,0.08680555555555555,2.3684210526315788,181572798242600
object_A11_layer_334.png,181572803656500,10,0.05,2500,1.5,7,28.8,654,2025,109820,1,20,0.06510416666666667,2.3947368421052633,181572861754100
object_A11_layer_335.png,181572867169600,10,0.05,2500,1.5,7,36.0,654,2070,112275,1,20,0.0,2.3947368421052633,181572930410000
object_A11_layer_336.png,181572935766300,10,0.05,2500,1.5,7,58.4,654,2143,114702,1,20,0.13020833333333334,2.375,181573016632900
object_A11_layer_337.png,181573021738400,10,0.05,2500,1.5,7,27.2,654,2177,117168,1,20,0.13020833333333334,2.3902439024390243,181573063305600
object_A11_layer_338.png,181573065510500,10,0.05,2500,1.5,7,64.8,705,2207,119587,1,20,0.021701388888888888,2.409090909090909,181573094180900
object_A11_layer_339.png,181573096147700,10,0.05,2500,1.5,7,68.8,761,2237,122001,1,21,0.021701388888888888,2.4285714285714284,181573125465200
object_A11_layer_340.png,181573127848800,10,0.05,2500,1.5,7,51.2,779,2283,124437,1,21,0.0,2.4285714285714284,181573154333600
object_A11_layer_341.png,181573156119200,10,0.05,2500,1.5,7,34.4,779,2326,126894,1,21,0.0,2.4285714285714284,181573185880200
object_A11_layer_342.png,181573187615600,10,0.05,2500,1.5,7,32.8,779,2367,129353,1,21,0.0,2.4186046511627906,181573211295000
object_A11_layer_343.png,181573213273300,10,0.05,2500,1.5,7,30.4,779,2405,131815,1,21,0.032552083333333336,2.4545454545454546,181573240089100
object_A11_layer_344.png,181573242428200,10,0.05,2500,1.5,7,31.2,779,2444,134276,1,21,0.0,2.441860465116279,181573268735600
object_A11_layer_345.png,181573271323800,10,0.05,2500,1.5,7,52.8,845,2444,136710,1,21,0.0,2.441860465116279,181573303850900
object_A11_layer_346.png,181573308419100,10,0.05,2500,1.5,7,37.6,845,2491,139163,1,21,0.0,2.441860465116279,181573361795600
object_A11_layer_347.png,181573366710200,10,0.05,2500,1.5,7,80.0,864,2572,141563,1,21,0.10850694444444445,2.422222222222222,181573427223700
object_A11_layer_348.png,181573431585800,10,0.05,2500,1.5,7,43.2,864,2626,144009,1,21,0.054253472222222224,2.4347826086956523,181573486512500
object_A11_layer_349.png,181573491310400,10,0.05,2500,1.5,7,61.6,882,2685,146432,1,22,0.021701388888888888,2.425531914893617,181573541840800
object_A11_layer_350.png,181573548174800,10,0.05,2500,1.5,7,15.2,882,2704,148913,1,22,0.09765625,2.4081632653061225,181573609022800
object_A11_layer_351.png,181573614040900,10,0.05,2500,1.5,7,44.0,882,2759,151358,1,23,0.09765625,2.4081632653061225,181573781377000
object_A11_layer_352.png,181573783752500,10,0.05,2500,1.5,7,42.4,917,2777,153805,1,23,0.0,2.4285714285714284,181573824797100
object_A11_layer_353.png,181573827021200,10,0.05,2500,1.5,7,35.2,917,2821,156261,1,23,0.0,2.4285714285714284,181573851472400
object_A11_layer_354.png,181573853937500,10,0.05,2500,1.5,7,30.4,917,2859,158723,1,23,0.08680555555555555,2.42,181573879692500
object_A11_layer_355.png,181573882191800,10,0.05,2500,1.5,7,43.2,917,2913,161169,1,23,0.08680555555555555,2.44,181573910217000
object_A11_layer_356.png,181573912215200,10,0.05,2500,1.5,7,56.0,917,2983,163599,1,23,0.0,2.44,181573939108300
object_A11_layer_357.png,181573941171000,10,0.05,2500,1.5,7,26.4,917,3016,166066,1,23,0.0,2.44,181573971702500
object_A11_layer_358.png,181573973929800,10,0.05,2500,1.5,7,51.2,930,3067,168502,1,23,0.0759548611111111,2.4313725490196076,181574002450000
object_A11_layer_359.png,181574004879700,10,0.05,2500,1.5,7,43.2,930,3121,170948,1,23,0.08680555555555555,2.423076923076923,181574040110500
object_A11_layer_360.png,181574042675600,10,0.05,2500,1.5,7,56.8,974,3148,173377,1,24,0.0,2.423076923076923,181574077274300
object_A11_layer_361.png,181574079668400,10,0.05,2500,1.5,7,46.4,974,3206,175819,1,24,0.09765625,2.4,181574115494100
object_A11_layer_362.png,181574117880900,10,0.05,2500,1.5,7,14.4,974,3224,178301,1,25,0.0,2.4074074074074074,181574144319300
object_A11_layer_363.png,181574146608300,10,0.05,2500,1.5,7,28.8,974,3260,180765,1,25,0.021701388888888888,2.4,181574171827200
object_A11_layer_364.png,181574174185300,10,0.05,2500,1.5,7,48.0,974,3320,183205,1,25,0.10850694444444445,2.392857142857143,181574208498100
object_A11_layer_365.png,181574212203000,10,0.05,2500,1.5,7,59.2,983,3385,185631,1,25,0.1519097222222222,2.3793103448275863,181574241548000
object_A11_layer_366.png,181574243761000,10,0.05,2500,1.5,7,15.2,983,3404,188112,1,25,0.054253472222222224,2.3728813559322033,181574274780100
object_A11_layer_367.png,181574278217600,10,0.05,2500,1.5,7,28.0,983,3439,190577,1,25,0.0,2.3728813559322033,181574308475300
object_A11_layer_368.png,181574311052300,10,0.05,2500,1.5,7,24.8,983,3470,193046,1,25,0.08680555555555555,2.3666666666666667,181574341938000
object_A11_layer_369.png,181574344352000,10,0.05,2500,1.5,7,72.0,1017,3526,195456,1,25,0.10850694444444445,2.360655737704918,181574370660200
object_A11_layer_370.png,181574373248100,10,0.05,2500,1.5,7,61.6,1065,3555,197879,1,25,0.10850694444444445,2.3492063492063493,181574404328300
