object_layer,startTime,neigborhoodSize,percent,nOfPtsInIMG,epsilon,minPts,cluPts/outPts,TP,FP,TN,FN,incHits,similarity[%],AVGclusterheight,endTime
object_A11_layer_290.png,184575112765000,10,0.05,2500,1.5,7,28.0,0,0,0,0,0,NaN,NaN,184576222732200
object_A11_layer_291.png,184576225156500,10,0.05,2500,1.5,7,68.8,0,0,0,0,0,0.0,0.0,184576275329600
object_A11_layer_292.png,184576277690600,10,0.05,2500,1.5,7,31.2,0,0,0,0,0,0.0,0.0,184576302229900
object_A11_layer_293.png,184576305118800,10,0.05,2500,1.5,7,42.4,0,0,0,0,0,0.0,2.0,184576331730500
object_A11_layer_294.png,184576335503800,10,0.05,2500,1.5,7,23.2,0,0,0,0,0,0.0,2.0,184576359729600
object_A11_layer_295.png,184576361963700,10,0.05,2500,1.5,7,58.4,0,0,0,0,0,0.0,2.0,184576394467500
object_A11_layer_296.png,184576397447000,10,0.05,2500,1.5,7,73.6,0,0,0,0,0,0.0,2.0,184576423363600
object_A11_layer_297.png,184576425597000,10,0.05,2500,1.5,7,40.8,0,0,0,0,0,0.0,2.2,184576448553500
object_A11_layer_298.png,184576450900500,10,0.05,2500,1.5,7,57.6,0,0,0,0,0,0.0,2.6666666666666665,184576474414800
object_A11_layer_299.png,184576477252500,10,0.05,2500,1.5,7,56.0,0,0,0,0,0,0.0,2.2222222222222223,184576501089000
object_A11_layer_300.png,184576503272600,10,0.05,2500,1.5,7,63.2,0,0,0,0,0,0.0,2.3,184576529641600
object_A11_layer_301.png,184576531947000,10,0.05,2500,1.5,7,32.8,0,0,0,0,0,0.0,2.6153846153846154,184576555151800
object_A11_layer_302.png,184576557961300,10,0.05,2500,1.5,7,47.2,0,0,0,0,0,0.0,2.6923076923076925,184576584183900
object_A11_layer_303.png,184576587255000,10,0.05,2500,1.5,7,43.2,0,0,0,0,0,0.0,2.3157894736842106,184576618035900
object_A11_layer_304.png,184576620543600,10,0.05,2500,1.5,7,51.2,0,0,0,0,0,0.0,2.3529411764705883,184576648228000
object_A11_layer_305.png,184576650869400,10,0.05,2500,1.5,7,49.6,0,0,0,0,0,0.0,2.3333333333333335,184576680445200
object_A11_layer_306.png,184576683679600,10,0.05,2500,1.5,7,40.8,0,0,0,0,0,0.0,2.3,184576712525200
object_A11_layer_307.png,184576714819500,10,0.05,2500,1.5,7,46.4,0,0,0,0,0,0.0,2.35,184576742517600
object_A11_layer_308.png,184576744971900,10,0.05,2500,1.5,7,12.8,0,0,0,0,0,0.0,2.4347826086956523,184576766119300
object_A11_layer_309.png,184576768876700,10,0.05,2500,1.5,7,64.0,0,0,0,0,0,0.0,2.380952380952381,184576789374600
object_A11_layer_310.png,184576791398400,10,0.05,2500,1.5,7,34.4,0,0,0,0,0,0.0,2.347826086956522,184576810073700
object_A11_layer_311.png,184576811879300,10,0.05,2500,1.5,7,61.6,0,0,0,0,0,0.0,2.347826086956522,184576833251700
object_A11_layer_312.png,184576834579400,10,0.05,2500,1.5,7,40.8,0,0,0,0,0,0.0,2.32,184576850591200
object_A11_layer_313.png,184576852023700,10,0.05,2500,1.5,7,50.4,0,0,0,0,0,0.0,2.32,184576865372300
object_A11_layer_314.png,184576866593200,10,0.05,2500,1.5,7,35.2,0,0,0,0,0,0.0,2.32,184576881611900
object_A11_layer_315.png,184576883078900,10,0.05,2500,1.5,7,32.8,0,0,0,0,0,0.0,2.32,184576898645500
object_A11_layer_316.png,184576900534800,10,0.05,2500,1.5,7,69.6,0,0,0,0,0,0.0,2.32,184576916158000
object_A11_layer_317.png,184576917862100,10,0.05,2500,1.5,7,34.4,0,0,0,0,0,0.0,2.3076923076923075,184576933872600
object_A11_layer_318.png,184576935943400,10,0.05,2500,1.5,7,32.0,0,0,0,0,0,0.0,2.3076923076923075,184576953441500
object_A11_layer_319.png,184576955515300,10,0.05,2500,1.5,7,23.2,0,0,0,0,0,0.0,2.3076923076923075,184576979904200
object_A11_layer_320.png,184576981965700,10,0.05,2500,1.5,7,52.8,0,0,0,0,0,0.0,2.3076923076923075,184577003259800
object_A11_layer_321.png,184577005488100,10,0.05,2500,1.5,7,41.6,0,0,0,0,0,0.0,2.2962962962962963,184577028573300
object_A11_layer_322.png,184577030836900,10,0.05,2500,1.5,7,55.2,0,0,0,0,0,0.0,2.357142857142857,184577053123200
object_A11_layer_323.png,184577055432600,10,0.05,2500,1.5,7,32.8,0,0,0,0,0,0.0,2.3214285714285716,184577079211700
object_A11_layer_324.png,184577082050500,10,0.05,2500,1.5,7,76.0,0,0,0,0,0,0.0,2.28125,184577110281500
object_A11_layer_325.png,184577112985900,10,0.05,2500,1.5,7,58.4,0,0,0,0,0,0.0,2.3548387096774195,184577142211800
object_A11_layer_326.png,184577145178000,10,0.05,2500,1.5,7,36.8,0,0,0,0,0,0.0,2.3548387096774195,184577175142100
object_A11_layer_327.png,184577178194300,10,0.05,2500,1.5,7,50.4,0,0,0,0,0,0.0,2.3333333333333335,184577216634500
object_A11_layer_328.png,184577219466600,10,0.05,2500,1.5,7,34.4,0,0,0,0,0,0.0,2.375,184577253589900
object_A11_layer_329.png,184577256522400,10,0.05,2500,1.5,7,72.0,0,0,0,0,0,0.0,2.375,184577285765000
object_A11_layer_330.png,184577288846200,10,0.05,2500,1.5,7,60.8,0,0,0,0,0,0.0,2.3333333333333335,184577319010200
object_A11_layer_331.png,184577321903800,10,0.05,2500,1.5,7,74.4,0,0,0,0,0,0.0,2.3333333333333335,184577351169800
object_A11_layer_332.png,184577354302100,10,0.05,2500,1.5,7,50.4,0,0,0,0,0,0.0,2.3513513513513513,184577388003200
object_A11_layer_333.png,184577393390100,10,0.05,2500,1.5,7,72.8,0,0,0,0,0,0.0,2.3684210526315788,184577426150100
object_A11_layer_334.png,184577427922000,10,0.05,2500,1.5,7,28.8,0,0,0,0,0,0.0,2.3947368421052633,184577447166800
object_A11_layer_335.png,184577449176700,10,0.05,2500,1.5,7,36.0,0,0,0,0,0,0.0,2.3947368421052633,184577471857900
object_A11_layer_336.png,184577473435500,10,0.05,2500,1.5,7,58.4,0,0,0,0,0,0.0,2.375,184577490086400
object_A11_layer_337.png,184577491457600,10,0.05,2500,1.5,7,27.2,0,0,0,0,0,0.0,2.3902439024390243,184577505693600
object_A11_layer_338.png,184577507138600,10,0.05,2500,1.5,7,64.8,0,0,0,0,0,0.0,2.409090909090909,184577523101300
object_A11_layer_339.png,184577524913100,10,0.05,2500,1.5,7,68.8,0,0,0,0,0,0.0,2.4285714285714284,184577538892600
object_A11_layer_340.png,184577540601100,10,0.05,2500,1.5,7,51.2,0,0,0,0,0,0.0,2.4285714285714284,184577556824900
object_A11_layer_341.png,184577559135800,10,0.05,2500,1.5,7,34.4,0,0,0,0,0,0.0,2.4285714285714284,184577579119200
object_A11_layer_342.png,184577581836400,10,0.05,2500,1.5,7,32.8,0,0,0,0,0,0.0,2.4186046511627906,184577605181000
object_A11_layer_343.png,184577608123600,10,0.05,2500,1.5,7,30.4,0,0,0,0,0,0.0,2.4545454545454546,184577643512700
object_A11_layer_344.png,184577647935500,10,0.05,2500,1.5,7,31.2,0,0,0,0,0,0.0,2.441860465116279,184577689425100
object_A11_layer_345.png,184577693416300,10,0.05,2500,1.5,7,52.8,0,0,0,0,0,0.0,2.441860465116279,184577733676300
object_A11_layer_346.png,184577737596600,10,0.05,2500,1.5,7,37.6,0,0,0,0,0,0.0,2.441860465116279,184577774242600
object_A11_layer_347.png,184577778090600,10,0.05,2500,1.5,7,80.0,0,0,0,0,0,0.0,2.422222222222222,184577820115300
object_A11_layer_348.png,184577824033100,10,0.05,2500,1.5,7,43.2,0,0,0,0,0,0.0,2.4347826086956523,184577865724100
object_A11_layer_349.png,184577870379400,10,0.05,2500,1.5,7,61.6,0,0,0,0,0,0.0,2.425531914893617,184577915791200
object_A11_layer_350.png,184577919956200,10,0.05,2500,1.5,7,15.2,0,0,0,0,0,0.0,2.4081632653061225,184577960602700
object_A11_layer_351.png,184577964602900,10,0.05,2500,1.5,7,44.0,0,0,0,0,0,0.0,2.4081632653061225,184578010673000
object_A11_layer_352.png,184578016452600,10,0.05,2500,1.5,7,42.4,0,0,0,0,0,0.0,2.4285714285714284,184578057605300
object_A11_layer_353.png,184578061518800,10,0.05,2500,1.5,7,35.2,0,0,0,0,0,0.0,2.4285714285714284,184578104421500
object_A11_layer_354.png,184578110856200,10,0.05,2500,1.5,7,30.4,0,0,0,0,0,0.0,2.42,184578150390100
object_A11_layer_355.png,184578154407400,10,0.05,2500,1.5,7,43.2,0,0,0,0,0,0.0,2.44,184578196891700
object_A11_layer_356.png,184578200728600,10,0.05,2500,1.5,7,56.0,0,0,0,0,0,0.0,2.44,184578239804500
object_A11_layer_357.png,184578243394800,10,0.05,2500,1.5,7,26.4,0,0,0,0,0,0.0,2.44,184578297727100
object_A11_layer_358.png,184578302007600,10,0.05,2500,1.5,7,51.2,0,0,0,0,0,0.0,2.4313725490196076,184578353292800
object_A11_layer_359.png,184578359232800,10,0.05,2500,1.5,7,43.2,0,0,0,0,0,0.0,2.423076923076923,184578413197300
object_A11_layer_360.png,184578418565400,10,0.05,2500,1.5,7,56.8,0,0,0,0,0,0.0,2.423076923076923,184578463200900
object_A11_layer_361.png,184578468125800,10,0.05,2500,1.5,7,46.4,0,0,0,0,0,0.0,2.4,184578512620100
object_A11_layer_362.png,184578517381700,10,0.05,2500,1.5,7,14.4,0,0,0,0,0,0.0,2.4074074074074074,184578562872300
object_A11_layer_363.png,184578567384000,10,0.05,2500,1.5,7,28.8,0,0,0,0,0,0.0,2.4,184578620238400
object_A11_layer_364.png,184578625331700,10,0.05,2500,1.5,7,48.0,0,0,0,0,0,0.0,2.392857142857143,184578673533800
object_A11_layer_365.png,184578677934300,10,0.05,2500,1.5,7,59.2,0,0,0,0,0,0.0,2.3793103448275863,184578724311600
object_A11_layer_366.png,184578730299000,10,0.05,2500,1.5,7,15.2,0,0,0,0,0,0.0,2.3728813559322033,184578775946400
object_A11_layer_367.png,184578781429500,10,0.05,2500,1.5,7,28.0,0,0,0,0,0,0.0,2.3728813559322033,184578942636300
object_A11_layer_368.png,184578944210500,10,0.05,2500,1.5,7,24.8,0,0,0,0,0,0.0,2.3666666666666667,184578968753100
object_A11_layer_369.png,184578980796300,10,0.05,2500,1.5,7,72.0,0,0,0,0,0,0.0,2.360655737704918,184578996046600
object_A11_layer_370.png,184578997557700,10,0.05,2500,1.5,7,61.6,0,0,0,0,0,0.0,2.3492063492063493,184579013655100
object_A11_layer_371.png,184579015376800,10,0.05,2500,1.5,7,45.6,0,0,0,0,0,0.0,2.3492063492063493,184579029827200
object_A11_layer_372.png,184579031358500,10,0.05,2500,1.5,7,60.0,0,0,0,0,0,0.0,2.34375,184579046977100
object_A11_layer_373.png,184579048449000,10,0.05,2500,1.5,7,38.4,0,0,0,0,0,0.0,2.359375,184579064120000
object_A11_layer_374.png,184579065594200,10,0.05,2500,1.5,7,65.6,0,0,0,0,0,0.0,2.359375,184579082043100
object_A11_layer_375.png,184579084060200,10,0.05,2500,1.5,7,52.8,0,0,0,0,0,0.0,2.3484848484848486,184579103909200
object_A11_layer_376.png,184579105933500,10,0.05,2500,1.5,7,67.2,0,0,0,0,0,0.0,2.3484848484848486,184579142775400
object_A11_layer_377.png,184579147985900,10,0.05,2500,1.5,7,55.2,0,0,0,0,0,0.0,2.338235294117647,184579194575100
object_A11_layer_378.png,184579199059700,10,0.05,2500,1.5,7,80.8,0,0,0,0,0,0.0,2.3333333333333335,184579246162900
object_A11_layer_379.png,184579252451100,10,0.05,2500,1.5,7,44.8,0,0,0,0,0,0.0,2.342857142857143,184579302081200
object_A11_layer_380.png,184579306784500,10,0.05,2500,1.5,7,60.8,0,0,0,0,0,0.0,2.3815789473684212,184579359256400
object_A11_layer_381.png,184579365550200,10,0.05,2500,1.5,7,30.4,0,0,0,0,0,0.0,2.375,184579413975400
object_A11_layer_382.png,184579420000600,10,0.05,2500,1.5,7,32.8,0,0,0,0,0,0.0,2.375,184579473201800
object_A11_layer_383.png,184579478432300,10,0.05,2500,1.5,7,52.8,0,0,0,0,0,0.0,2.375,184579510985300
object_A11_layer_384.png,184579514888300,10,0.05,2500,1.5,7,6.4,0,0,0,0,0,0.0,2.375,184579544190500
object_A11_layer_385.png,184579547265000,10,0.05,2500,1.5,7,51.2,0,0,0,0,0,0.0,2.3698630136986303,184579579167800
object_A11_layer_386.png,184579582497000,10,0.05,2500,1.5,7,39.2,0,0,0,0,0,0.0,2.364864864864865,184579609965800
object_A11_layer_387.png,184579612452600,10,0.05,2500,1.5,7,45.6,0,0,0,0,0,0.0,2.364864864864865,184579639429700
object_A11_layer_388.png,184579642637800,10,0.05,2500,1.5,7,86.4,0,0,0,0,0,0.0,2.36,184579673311400
object_A11_layer_389.png,184579676327000,10,0.05,2500,1.5,7,62.4,0,0,0,0,0,0.0,2.3506493506493507,184579706378300
object_A11_layer_390.png,184579709803400,10,0.05,2500,1.5,7,40.0,0,0,0,0,0,0.0,2.3333333333333335,184579738282900
object_A11_layer_391.png,184579741276100,10,0.05,2500,1.5,7,30.4,0,0,0,0,0,0.0,2.3417721518987342,184579770695600
object_A11_layer_392.png,184579773729800,10,0.05,2500,1.5,7,56.8,0,0,0,0,0,0.0,2.3375,184579802998400
object_A11_layer_393.png,184579805496800,10,0.05,2500,1.5,7,8.0,0,0,0,0,0,0.0,2.3375,184579835746500
object_A11_layer_394.png,184579838354000,10,0.05,2500,1.5,7,45.6,0,0,0,0,0,0.0,2.3375,184579869612400
object_A11_layer_395.png,184579872616900,10,0.05,2500,1.5,7,16.0,0,0,0,0,0,0.0,2.3375,184579900360200
object_A11_layer_396.png,184579902958000,10,0.05,2500,1.5,7,60.0,0,0,0,0,0,0.0,2.3333333333333335,184579930959200
object_A11_layer_397.png,184579933988000,10,0.05,2500,1.5,7,40.8,0,0,0,0,0,0.0,2.3292682926829267,184579964449800
