object_layer,startTime,neigborhoodSize,percent,nOfPtsInIMG,epsilon,minPts,cluPts/outPts,TP,FP,TN,FN,incHits,similarity[%],AVGclusterheight,endTime
object_A11_layer_290.png,1643975917200,10,0.1,2500,1.5,7,37.6,0,94,2406,0,0,NaN,NaN,1644606494300
object_A11_layer_291.png,1644607819600,10,0.1,2500,1.5,7,52.8,0,226,4774,0,0,0.0,2.0,1644634205400
object_A11_layer_292.png,1644635742300,10,0.1,2500,1.5,7,41.6,0,330,7170,0,0,0.0,2.5,1644655630600
object_A11_layer_293.png,1644659971000,10,0.1,2500,1.5,7,48.0,14,436,9550,0,0,0.0,2.142857142857143,1644678654000
object_A11_layer_294.png,1644679836200,10,0.1,2500,1.5,7,56.0,42,548,11909,1,0,0.0,2.4,1644712932900
object_A11_layer_295.png,1644715197200,10,0.1,2500,1.5,7,54.0,42,683,14274,1,2,0.0,2.4,1644728884700
object_A11_layer_296.png,1644730337700,10,0.1,2500,1.5,7,66.0,42,848,16609,1,2,0.0,2.357142857142857,1644746884600
object_A11_layer_297.png,1644747994200,10,0.1,2500,1.5,7,29.6,61,903,19035,1,2,0.0,2.466666666666667,1644763082800
object_A11_layer_298.png,1644764241900,10,0.1,2500,1.5,7,74.0,134,1015,21350,1,2,0.0,2.6666666666666665,1644780000000
object_A11_layer_299.png,1644781400400,10,0.1,2500,1.5,7,53.6,155,1128,23716,1,2,0.0,2.789473684210526,1644803081600
object_A11_layer_300.png,1644804069500,10,0.1,2500,1.5,7,49.2,189,1217,26093,1,4,0.0,2.611111111111111,1644819838900
object_A11_layer_301.png,1644821062600,10,0.1,2500,1.5,7,42.0,189,1322,28488,1,7,0.0,3.0476190476190474,1644833821600
object_A11_layer_302.png,1644834855500,10,0.1,2500,1.5,7,52.0,209,1432,30858,1,7,0.0,2.9523809523809526,1644848420900
object_A11_layer_303.png,1644849474900,10,0.1,2500,1.5,7,40.4,209,1533,33257,1,7,0.0,2.772727272727273,1644865106800
object_A11_layer_304.png,1644866387100,10,0.1,2500,1.5,7,54.4,237,1641,35621,1,8,0.0,2.6296296296296298,1644880569500
object_A11_layer_305.png,1644882402500,10,0.1,2500,1.5,7,58.4,237,1787,37975,1,9,0.0,2.6551724137931036,1644898442100
