object_layer,startTime,neigborhoodSize,percent,nOfPtsInIMG,epsilon,minPts,cluPts/outPts,TP,FP,TN,FN,incHits,similarity[%],AVGclusterheight,endTime
object_B10_layer_290.png,254652868895500,10,0.05,2500,1.5,7,33.6,0,42,2458,0,0,NaN,NaN,254653549073600
object_B10_layer_291.png,254653550509900,10,0.05,2500,1.5,7,27.2,0,76,4924,0,0,0.0,0.0,254653573102700
object_B10_layer_292.png,254653574398200,10,0.05,2500,1.5,7,24.8,0,107,7393,0,0,0.0,2.0,254653588018200
object_B10_layer_293.png,254653589259600,10,0.05,2500,1.5,7,22.4,0,135,9865,0,0,0.0,2.0,254653602895400
object_B10_layer_294.png,254653604285800,10,0.05,2500,1.5,7,30.4,0,173,12327,0,0,0.0,2.0,254653617295600
object_B10_layer_295.png,254653618482800,10,0.05,2500,1.5,7,44.8,0,229,14771,0,0,0.0,2.0,254653634984700
object_B10_layer_296.png,254653636149500,10,0.05,2500,1.5,7,35.2,34,239,17227,0,0,0.0,2.0,254653648698400
object_B10_layer_297.png,254653649856300,10,0.05,2500,1.5,7,9.6,34,251,19715,0,0,0.0,2.0,254653662125200
object_B10_layer_298.png,254653663358800,10,0.05,2500,1.5,7,37.6,34,298,22168,0,0,0.0,2.0,254653676144100
object_B10_layer_299.png,254653677345500,10,0.05,2500,1.5,7,24.0,34,328,24638,0,0,0.0,2.0,254653690321600
object_B10_layer_300.png,254653691466300,10,0.05,2500,1.5,7,31.2,34,367,27099,0,0,0.0,2.0,254653702487000
object_B10_layer_301.png,254653703574100,10,0.05,2500,1.5,7,8.0,34,377,29589,0,0,0.0,2.0,254653716339200
object_B10_layer_302.png,254653717654700,10,0.05,2500,1.5,7,23.2,34,406,32060,0,0,0.0,2.0,254653735320600
object_B10_layer_303.png,254653736523000,10,0.05,2500,1.5,7,0.0,34,406,34560,0,0,0.0,2.0,254653747464400
object_B10_layer_304.png,254653749122400,10,0.05,2500,1.5,7,19.2,34,430,37036,0,0,0.0,2.0,254653760451400
object_B10_layer_305.png,254653761524100,10,0.05,2500,1.5,7,52.8,34,496,39470,0,0,0.0,2.0,254653773755700
object_B10_layer_306.png,254653774974200,10,0.05,2500,1.5,7,40.8,34,547,41919,0,0,0.0,2.0,254653786229900
object_B10_layer_307.png,254653787272200,10,0.05,2500,1.5,7,20.0,34,572,44394,0,0,0.0,2.0,254653798987300
object_B10_layer_308.png,254653800072900,10,0.05,2500,1.5,7,26.4,46,593,46861,0,0,0.0,2.3333333333333335,254653812677600
object_B10_layer_309.png,254653813938700,10,0.05,2500,1.5,7,36.8,62,623,49315,0,0,0.0,2.142857142857143,254653825569300
object_B10_layer_310.png,254653826539000,10,0.05,2500,1.5,7,24.0,62,653,51785,0,1,0.0,2.1666666666666665,254653840656100
object_B10_layer_311.png,254653841871000,10,0.05,2500,1.5,7,17.6,62,675,54263,0,1,0.0,2.1666666666666665,254653852931400
object_B10_layer_312.png,254653854487400,10,0.05,2500,1.5,7,24.8,62,706,56732,0,1,0.0,2.1666666666666665,254653865692600
object_B10_layer_313.png,254653866898700,10,0.05,2500,1.5,7,51.2,88,744,59168,0,1,0.0,2.142857142857143,254653878494900
object_B10_layer_314.png,254653879864400,10,0.05,2500,1.5,7,24.0,105,757,61638,0,2,0.0,2.4285714285714284,254653892423600
object_B10_layer_315.png,254653893926700,10,0.05,2500,1.5,7,41.6,105,809,64086,0,3,0.0,2.4285714285714284,254653908289900
object_B10_layer_316.png,254653909537300,10,0.05,2500,1.5,7,27.2,105,843,66552,0,3,0.0,2.4285714285714284,254653921007500
object_B10_layer_317.png,254653922020800,10,0.05,2500,1.5,7,21.6,116,859,69025,0,3,0.0,2.4285714285714284,254653936907600
object_B10_layer_318.png,254653938110900,10,0.05,2500,1.5,7,6.4,116,867,71517,0,3,0.0,2.4285714285714284,254653949281300
object_B10_layer_319.png,254653950361300,10,0.05,2500,1.5,7,32.0,116,907,73977,0,3,0.0,2.4285714285714284,254653961653500
object_B10_layer_320.png,254653962868900,10,0.05,2500,1.5,7,35.2,116,951,76433,0,3,0.0,2.4285714285714284,254653973638500
object_B10_layer_321.png,254653974836100,10,0.05,2500,1.5,7,32.0,116,991,78893,0,3,0.0,2.4285714285714284,254653986499900
object_B10_layer_322.png,254653987612200,10,0.05,2500,1.5,7,33.6,116,1033,81351,0,3,0.0,2.4285714285714284,254653999229800
object_B10_layer_323.png,254654000634700,10,0.05,2500,1.5,7,33.6,116,1075,83809,0,3,0.0,2.375,254654012385500
object_B10_layer_324.png,254654013437800,10,0.05,2500,1.5,7,21.6,116,1102,86282,0,3,0.0,2.375,254654024545900
object_B10_layer_325.png,254654025606500,10,0.05,2500,1.5,7,40.8,116,1153,88731,0,3,0.0,2.3,254654039925900
object_B10_layer_326.png,254654041258400,10,0.05,2500,1.5,7,23.2,137,1161,91202,0,3,0.0,2.3,254654052207600
object_B10_layer_327.png,254654053501500,10,0.05,2500,1.5,7,44.8,137,1217,93646,0,4,0.0,2.4545454545454546,254654065456500
object_B10_layer_328.png,254654066748200,10,0.05,2500,1.5,7,12.0,137,1232,96131,0,4,0.0,2.4,254654077902800
object_B10_layer_329.png,254654079135800,10,0.05,2500,1.5,7,0.0,137,1232,98631,0,4,0.0,2.4,254654091296600
object_B10_layer_330.png,254654092559400,10,0.05,2500,1.5,7,17.6,137,1254,101109,0,4,0.0,2.4,254654103312000
object_B10_layer_331.png,254654104539300,10,0.05,2500,1.5,7,49.6,151,1302,103547,0,4,0.0,2.4,254654116505600
object_B10_layer_332.png,254654117481600,10,0.05,2500,1.5,7,30.4,151,1340,106009,0,4,0.0,2.3333333333333335,254654132688200
object_B10_layer_333.png,254654133948800,10,0.05,2500,1.5,7,28.0,151,1375,108474,0,4,0.0,2.4166666666666665,254654146085500
object_B10_layer_334.png,254654147441800,10,0.05,2500,1.5,7,16.8,151,1396,110953,0,4,0.0,2.5384615384615383,254654159073800
object_B10_layer_335.png,254654160072600,10,0.05,2500,1.5,7,21.6,151,1423,113426,0,4,0.0,2.4285714285714284,254654171349700
object_B10_layer_336.png,254654172527800,10,0.05,2500,1.5,7,30.4,151,1461,115888,0,4,0.0,2.4615384615384617,254654183785900
object_B10_layer_337.png,254654185161300,10,0.05,2500,1.5,7,27.2,151,1495,118354,0,4,0.0,2.4,254654196693600
object_B10_layer_338.png,254654197705100,10,0.05,2500,1.5,7,38.4,151,1543,120806,0,4,0.0,2.375,254654209182200
object_B10_layer_339.png,254654210413300,10,0.05,2500,1.5,7,24.0,151,1573,123276,0,4,0.0,2.4,254654221090200
object_B10_layer_340.png,254654222072000,10,0.05,2500,1.5,7,30.4,151,1611,125738,0,4,0.0,2.375,254654234753400
object_B10_layer_341.png,254654235924700,10,0.05,2500,1.5,7,8.0,151,1621,128228,0,4,0.0,2.3333333333333335,254654247211000
object_B10_layer_342.png,254654248494700,10,0.05,2500,1.5,7,24.0,151,1651,130698,0,4,0.0,2.3529411764705883,254654259896500
object_B10_layer_343.png,254654260999800,10,0.05,2500,1.5,7,30.4,151,1689,133160,0,4,0.0,2.2857142857142856,254654272567900
object_B10_layer_344.png,254654273788500,10,0.05,2500,1.5,7,31.2,151,1728,135621,0,4,0.0,2.3684210526315788,254654284531800
object_B10_layer_345.png,254654286013900,10,0.05,2500,1.5,7,40.0,151,1778,138071,0,4,0.0,2.3333333333333335,254654297874000
object_B10_layer_346.png,254654299022400,10,0.05,2500,1.5,7,33.6,151,1820,140529,0,4,0.0,2.3333333333333335,254654310027000
object_B10_layer_347.png,254654311618300,10,0.05,2500,1.5,7,39.2,192,1828,142980,0,4,0.0,2.3043478260869565,254654325836700
object_B10_layer_348.png,254654327022200,10,0.05,2500,1.5,7,20.8,200,1846,145454,0,5,0.0,2.3043478260869565,254654339722500
object_B10_layer_349.png,254654340821700,10,0.05,2500,1.5,7,36.8,200,1892,147908,0,6,0.0,2.3333333333333335,254654351537700
object_B10_layer_350.png,254654352953000,10,0.05,2500,1.5,7,0.0,200,1892,150408,0,6,0.0,2.3333333333333335,254654364595500
object_B10_layer_351.png,254654365595200,10,0.05,2500,1.5,7,67.2,216,1960,152824,0,6,0.0,2.3333333333333335,254654377469800
object_B10_layer_352.png,254654378963200,10,0.05,2500,1.5,7,10.4,216,1973,155311,0,6,0.0,2.32,254654390495000
object_B10_layer_353.png,254654391589800,10,0.05,2500,1.5,7,18.4,216,1996,157788,0,7,0.0,2.32,254654404193100
object_B10_layer_354.png,254654405718500,10,0.05,2500,1.5,7,21.6,216,2023,160261,0,7,0.0,2.3076923076923075,254654418000100
object_B10_layer_355.png,254654419081300,10,0.05,2500,1.5,7,16.8,216,2044,162740,0,7,0.0,2.3076923076923075,254654434194100
object_B10_layer_356.png,254654435494100,10,0.05,2500,1.5,7,31.2,216,2083,165201,0,7,0.0,2.3076923076923075,254654447481900
object_B10_layer_357.png,254654448563300,10,0.05,2500,1.5,7,21.6,216,2110,167674,0,7,0.0,2.3076923076923075,254654461491700
object_B10_layer_358.png,254654462777300,10,0.05,2500,1.5,7,27.2,216,2144,170140,0,7,0.0,2.3076923076923075,254654473746400
object_B10_layer_359.png,254654475130100,10,0.05,2500,1.5,7,12.0,231,2144,172625,0,7,0.0,2.3076923076923075,254654486880700
object_B10_layer_360.png,254654487969200,10,0.05,2500,1.5,7,42.4,248,2180,175072,0,7,0.0,2.2857142857142856,254654500694200
object_B10_layer_361.png,254654501955000,10,0.05,2500,1.5,7,69.6,293,2222,177485,0,9,0.0,2.2758620689655173,254654514796200
object_B10_layer_362.png,254654516119600,10,0.05,2500,1.5,7,21.6,293,2249,179958,0,10,0.0,2.3214285714285716,254654532779300
object_B10_layer_363.png,254654534332300,10,0.05,2500,1.5,7,24.0,293,2279,182428,0,10,0.0,2.3214285714285716,254654548981600
object_B10_layer_364.png,254654550391700,10,0.05,2500,1.5,7,53.6,301,2338,184861,0,10,0.0,2.3,254654563082200
object_B10_layer_365.png,254654564773200,10,0.05,2500,1.5,7,30.4,301,2376,187323,0,10,0.0,2.3333333333333335,254654575514400
object_B10_layer_366.png,254654576669200,10,0.05,2500,1.5,7,31.2,316,2400,189784,0,10,0.0,2.3870967741935485,254654591208200
object_B10_layer_367.png,254654592532700,10,0.05,2500,1.5,7,20.8,316,2426,192258,0,10,0.0,2.3666666666666667,254654605468900
object_B10_layer_368.png,254654607069400,10,0.05,2500,1.5,7,23.2,316,2455,194729,0,10,0.0,2.34375,254654618459500
object_B10_layer_369.png,254654619610400,10,0.05,2500,1.5,7,36.0,316,2500,197184,0,10,0.0,2.3333333333333335,254654631786100
object_B10_layer_370.png,254654632988400,10,0.05,2500,1.5,7,19.2,330,2510,199660,0,10,0.0,2.3333333333333335,254654693677200
object_B10_layer_371.png,254654695233700,10,0.05,2500,1.5,7,29.6,330,2547,202123,0,10,0.0,2.3333333333333335,254654711090900
object_B10_layer_372.png,254654712883200,10,0.05,2500,1.5,7,32.0,330,2587,204583,0,10,0.0,2.3333333333333335,254654727939500
object_B10_layer_373.png,254654729859300,10,0.05,2500,1.5,7,13.6,330,2604,207066,0,10,0.0,2.3333333333333335,254654744489500
object_B10_layer_374.png,254654746101600,10,0.05,2500,1.5,7,38.4,350,2632,209518,0,10,0.0,2.3333333333333335,254654760655100
object_B10_layer_375.png,254654762017100,10,0.05,2500,1.5,7,32.8,350,2673,211977,0,10,0.0,2.3333333333333335,254654777631800
object_B10_layer_376.png,254654778982000,10,0.05,2500,1.5,7,42.4,350,2726,214424,0,10,0.0,2.3142857142857145,254654794106600
object_B10_layer_377.png,254654795516100,10,0.05,2500,1.5,7,28.0,361,2750,216889,0,10,0.0,2.3142857142857145,254654809694600
object_B10_layer_378.png,254654811589600,10,0.05,2500,1.5,7,63.2,390,2800,219310,0,10,0.0,2.3333333333333335,254654829238000
object_B10_layer_379.png,254654830780700,10,0.05,2500,1.5,7,55.2,414,2845,221741,0,11,0.0,2.3684210526315788,254654845994200
object_B10_layer_380.png,254654847390300,10,0.05,2500,1.5,7,0.0,414,2845,224241,0,13,0.0,2.3684210526315788,254654862422700
object_B10_layer_381.png,254654863970800,10,0.05,2500,1.5,7,28.8,414,2881,226705,0,13,0.0,2.3684210526315788,254654878547700
object_B10_layer_382.png,254654880001900,10,0.05,2500,1.5,7,39.2,414,2930,229156,0,13,0.0,2.358974358974359,254654896213100
object_B10_layer_383.png,254654898202300,10,0.05,2500,1.5,7,20.0,431,2938,231631,0,13,0.0,2.3846153846153846,254654913561900
object_B10_layer_384.png,254654915775800,10,0.05,2500,1.5,7,32.8,431,2979,234089,1,14,0.0,2.41025641025641,254654930634600
