object_layer,startTime,neigborhoodSize,percent,nOfPtsInIMG,epsilon,minPts,cluPts/outPts,TP,FP,TN,FN,incHits,similarity[%],AVGclusterheight,endTime
object_C4_layer_290.png,181491418661400,10,0.05,2500,1.5,7,35.2,0,44,2456,0,0,NaN,NaN,181492534996900
object_C4_layer_291.png,181492537353200,10,0.05,2500,1.5,7,12.8,0,60,4940,0,0,0.0,0.0,181492586614800
object_C4_layer_292.png,181492588908600,10,0.05,2500,1.5,7,0.0,0,60,7440,0,0,0.0,0.0,181492614862300
object_C4_layer_293.png,181492617671800,10,0.05,2500,1.5,7,36.8,0,106,9894,0,0,0.0,0.0,181492644788500
object_C4_layer_294.png,181492647369000,10,0.05,2500,1.5,7,0.0,0,106,12394,0,0,0.0,0.0,181492675450500
object_C4_layer_295.png,181492677854900,10,0.05,2500,1.5,7,23.2,0,135,14865,0,0,0.0,0.0,181492703541400
object_C4_layer_296.png,181492710833600,10,0.05,2500,1.5,7,13.6,0,152,17348,0,0,0.021701388888888888,2.0,181492737902100
object_C4_layer_297.png,181492740324500,10,0.05,2500,1.5,7,9.6,0,164,19836,0,0,0.0,2.0,181492765173400
object_C4_layer_298.png,181492767790800,10,0.05,2500,1.5,7,9.6,0,176,22324,0,0,0.0,2.0,181492793426000
object_C4_layer_299.png,181492795658500,10,0.05,2500,1.5,7,32.0,0,216,24784,0,0,0.010850694444444444,2.0,181492820913200
object_C4_layer_300.png,181492823091900,10,0.05,2500,1.5,7,21.6,0,243,27257,0,0,0.0,2.0,181492849707300
object_C4_layer_301.png,181492852310100,10,0.05,2500,1.5,7,24.0,0,273,29727,0,0,0.021701388888888888,2.0,181492878241200
object_C4_layer_302.png,181492881038200,10,0.05,2500,1.5,7,27.2,0,307,32193,0,0,0.0,2.0,181492913004300
object_C4_layer_303.png,181492915346400,10,0.05,2500,1.5,7,13.6,0,324,34676,0,0,0.0,2.0,181492940991000
object_C4_layer_304.png,181492943096300,10,0.05,2500,1.5,7,17.6,0,346,37154,0,0,0.0,2.0,181492968255100
object_C4_layer_305.png,181492970868100,10,0.05,2500,1.5,7,12.8,0,362,39638,0,0,0.043402777777777776,2.0,181492997189700
object_C4_layer_306.png,181493000723000,10,0.05,2500,1.5,7,20.8,0,388,42112,0,0,0.08680555555555555,2.3333333333333335,181493044847000
object_C4_layer_307.png,181493049068600,10,0.05,2500,1.5,7,6.4,0,396,44604,0,0,0.0,2.2,181493090556600
object_C4_layer_308.png,181493095731400,10,0.05,2500,1.5,7,6.4,0,404,47096,0,0,0.0,2.2,181493145524000
object_C4_layer_309.png,181493150104700,10,0.05,2500,1.5,7,6.4,0,412,49588,0,0,0.0,2.2,181493204637700
object_C4_layer_310.png,181493208986100,10,0.05,2500,1.5,7,12.8,0,428,52072,0,0,0.0,2.1666666666666665,181493252136200
object_C4_layer_311.png,181493256137200,10,0.05,2500,1.5,7,18.4,0,451,54549,0,0,0.0,2.1666666666666665,181493300519700
object_C4_layer_312.png,181493305891400,10,0.05,2500,1.5,7,16.0,0,471,57029,0,0,0.0,2.1666666666666665,181493350083000
object_C4_layer_313.png,181493354710600,10,0.05,2500,1.5,7,29.6,0,508,59492,0,0,0.0,2.1666666666666665,181493398697400
object_C4_layer_314.png,181493403698900,10,0.05,2500,1.5,7,19.2,0,532,61968,0,0,0.0,2.142857142857143,181493470116600
object_C4_layer_315.png,181493474775100,10,0.05,2500,1.5,7,23.2,0,561,64439,0,0,0.0,2.142857142857143,181493522756900
object_C4_layer_316.png,181493528189800,10,0.05,2500,1.5,7,6.4,0,569,66931,0,0,0.0,2.142857142857143,181493580996300
object_C4_layer_317.png,181493585847300,10,0.05,2500,1.5,7,12.8,0,585,69415,0,0,0.0,2.142857142857143,181493628174100
object_C4_layer_318.png,181493632519200,10,0.05,2500,1.5,7,0.0,0,585,71915,0,0,0.0,2.142857142857143,181493675960900
object_C4_layer_319.png,181493681625800,10,0.05,2500,1.5,7,13.6,0,602,74398,0,0,0.0,2.142857142857143,181493727286100
object_C4_layer_320.png,181493731493900,10,0.05,2500,1.5,7,15.2,0,621,76879,0,0,0.0,2.142857142857143,181493776322700
object_C4_layer_321.png,181493828693600,10,0.05,2500,1.5,7,12.8,0,637,79363,0,0,0.0,2.142857142857143,181493947697400
object_C4_layer_322.png,181493949750100,10,0.05,2500,1.5,7,17.6,0,659,81841,0,0,0.0,2.142857142857143,181493971384300
object_C4_layer_323.png,181493973149900,10,0.05,2500,1.5,7,20.8,0,685,84315,0,0,0.06510416666666667,2.125,181493996579900
object_C4_layer_324.png,181493998097800,10,0.05,2500,1.5,7,16.8,0,706,86794,0,0,0.021701388888888888,2.25,181494016479800
object_C4_layer_325.png,181494017906000,10,0.05,2500,1.5,7,7.2,0,715,89285,0,0,0.09765625,2.5555555555555554,181494033960500
object_C4_layer_326.png,181494035727100,10,0.05,2500,1.5,7,8.0,0,725,91775,0,0,0.0,2.375,181494051067600
object_C4_layer_327.png,181494052933800,10,0.05,2500,1.5,7,32.8,0,766,94234,0,0,0.0,2.3,181494070194500
object_C4_layer_328.png,181494071973300,10,0.05,2500,1.5,7,0.0,0,766,96734,0,0,0.0,2.3333333333333335,181494090896200
object_C4_layer_329.png,181494092804000,10,0.05,2500,1.5,7,8.8,0,777,99223,0,0,0.0,2.3333333333333335,181494112638600
object_C4_layer_330.png,181494114640800,10,0.05,2500,1.5,7,8.8,0,788,101712,0,0,0.0,2.3333333333333335,181494144217100
object_C4_layer_331.png,181494146491300,10,0.05,2500,1.5,7,34.4,0,831,104169,0,0,0.0,2.3333333333333335,181494170707100
object_C4_layer_332.png,181494172769800,10,0.05,2500,1.5,7,14.4,0,849,106651,0,0,0.0,2.3333333333333335,181494194841700
object_C4_layer_333.png,181494196788400,10,0.05,2500,1.5,7,20.0,0,874,109126,0,0,0.0,2.3333333333333335,181494219351000
object_C4_layer_334.png,181494222085100,10,0.05,2500,1.5,7,14.4,0,892,111608,0,0,0.054253472222222224,2.272727272727273,181494246496800
object_C4_layer_335.png,181494248620100,10,0.05,2500,1.5,7,8.0,0,902,114098,0,0,0.0,2.3,181494272970800
object_C4_layer_336.png,181494275585700,10,0.05,2500,1.5,7,0.0,0,902,116598,0,0,0.0,2.3,181494305212100
object_C4_layer_337.png,181494308033600,10,0.05,2500,1.5,7,8.0,0,912,119088,0,0,0.0,2.3,181494331971100
object_C4_layer_338.png,181494334353600,10,0.05,2500,1.5,7,8.0,0,922,121578,0,0,0.0,2.3,181494357654600
object_C4_layer_339.png,181494359808900,10,0.05,2500,1.5,7,8.0,0,932,124068,0,0,0.0,2.3,181494381717400
object_C4_layer_340.png,181494383993600,10,0.05,2500,1.5,7,36.0,0,977,126523,0,0,0.0,2.3,181494406875700
object_C4_layer_341.png,181494409211900,10,0.05,2500,1.5,7,13.6,0,994,129006,0,0,0.0,2.3,181494442020100
object_C4_layer_342.png,181494447029700,10,0.05,2500,1.5,7,25.6,0,1026,131474,0,0,0.0,2.3,181494507995900
object_C4_layer_343.png,181494513020200,10,0.05,2500,1.5,7,6.4,0,1034,133966,0,0,0.0,2.3,181494569391400
object_C4_layer_344.png,181494574251700,10,0.05,2500,1.5,7,20.0,0,1059,136441,0,0,0.08680555555555555,2.272727272727273,181494621079700
object_C4_layer_345.png,181494625542800,10,0.05,2500,1.5,7,19.2,0,1083,138917,0,0,0.0,2.272727272727273,181494674924200
object_C4_layer_346.png,181494680231900,10,0.05,2500,1.5,7,0.0,0,1083,141417,0,0,0.0,2.272727272727273,181494725753200
object_C4_layer_347.png,181494730184700,10,0.05,2500,1.5,7,22.4,0,1111,143889,0,0,0.0,2.272727272727273,181494776198600
object_C4_layer_348.png,181494780781900,10,0.05,2500,1.5,7,8.0,0,1121,146379,0,0,0.0,2.272727272727273,181494842214700
object_C4_layer_349.png,181494847030200,10,0.05,2500,1.5,7,19.2,0,1145,148855,0,0,0.0759548611111111,2.230769230769231,181494895045900
object_C4_layer_350.png,181494899642100,10,0.05,2500,1.5,7,0.0,0,1145,151355,0,0,0.0,2.25,181494955457600
object_C4_layer_351.png,181494960512200,10,0.05,2500,1.5,7,32.8,0,1186,153814,0,0,0.0,2.25,181495010126900
object_C4_layer_352.png,181495015951500,10,0.05,2500,1.5,7,12.8,0,1202,156298,0,0,0.0,2.25,181495065138800
object_C4_layer_353.png,181495069604800,10,0.05,2500,1.5,7,12.8,0,1218,158782,0,0,0.0,2.25,181495118988800
object_C4_layer_354.png,181495123545400,10,0.05,2500,1.5,7,8.8,0,1229,161271,0,0,0.0,2.25,181495172854400
object_C4_layer_355.png,181495177017000,10,0.05,2500,1.5,7,19.2,0,1253,163747,0,0,0.0,2.25,181495228364800
