Z,X,Y,Object
291,280,1210,S02
291,283,1445,S03
291,283,1446,S03
291,284,1445,S03
291,284,1446,S03
291,285,1445,S03
291,285,1446,S03
291,286,1445,S03
291,286,1446,S03
291,293,1210,S02
291,375,593,A08
291,494,406,A10
291,514,1721,S06
291,515,1720,S06
291,515,1721,S06
291,515,1722,S06
291,572,580,A16
291,572,581,A16
291,573,580,A16
291,573,581,A16
291,574,580,A16
291,574,581,A16
291,611,380,A14
291,824,1148,B04
291,824,1149,B04
291,825,1148,B04
291,825,1149,B04
291,825,1150,B04
291,826,1149,B04
291,833,831,B01
291,833,832,B01
291,834,832,B01
291,1142,861,B13
291,1150,968,B14
291,1160,1031,B15
291,1161,1031,B15
292,262,929,S01
292,262,930,S01
292,263,930,S01
292,279,948,S01
292,280,1203,S02
292,280,1204,S02
292,281,1203,S02
292,281,1204,S02
292,281,1205,S02
292,282,1203,S02
292,282,1204,S02
292,283,1442,S03
292,283,1443,S03
292,284,1442,S03
292,284,1443,S03
292,284,1444,S03
292,285,502,A03
292,285,609,A04
292,285,610,A04
292,285,1442,S03
292,285,1443,S03
292,286,502,A03
292,286,503,A03
292,286,610,A04
292,287,502,A03
292,287,503,A03
292,294,930,S01
292,295,930,S01
292,295,931,S01
292,296,930,S01
292,482,608,A12
292,483,608,A12
292,497,612,A12
292,497,613,A12
292,498,612,A12
292,515,1721,S06
292,544,1742,S06
292,544,1743,S06
292,545,1742,S06
292,545,1743,S06
292,550,1439,S05
292,569,487,A15
292,569,488,A15
292,570,487,A15
292,570,488,A15
292,570,489,A15
292,570,604,A16
292,570,605,A16
292,570,606,A16
292,571,487,A15
292,571,488,A15
292,571,489,A15
292,571,490,A15
292,571,605,A16
292,572,371,A14
292,572,489,A15
292,572,490,A15
292,572,491,A15
292,573,371,A14
292,574,371,A14
292,582,491,A15
292,582,492,A15
292,583,491,A15
292,583,492,A15
292,584,492,A15
292,589,615,A16
292,590,616,A16
292,601,374,A14
292,917,296,S09
292,969,839,B05
292,970,839,B05
292,970,840,B05
292,1430,543,S12
292,1710,1083,S16
292,1711,1082,S16
292,1711,1083,S16
293,367,274,A05
293,367,275,A05
293,367,276,A05
293,368,275,A05
293,368,276,A05
293,485,617,A12
293,554,1453,S05
293,555,1451,S05
293,555,1452,S05
293,570,489,A15
293,594,387,A14
293,594,388,A14
293,794,1702,S07
293,797,1700,S07
293,797,1701,S07
293,804,1720,S07
293,805,1720,S07
294,261,264,A01
294,261,265,A01
294,272,259,A01
294,273,259,A01
294,278,1203,S02
294,289,485,A03
294,290,484,A03
294,290,485,A03
294,290,486,A03
294,291,484,A03
294,291,485,A03
294,292,485,A03
294,367,275,A05
294,367,276,A05
294,367,277,A05
294,368,275,A05
294,368,276,A05
294,368,277,A05
294,368,278,A05
294,369,276,A05
294,369,277,A05
294,369,278,A05
294,381,292,A05
294,381,293,A05
294,382,292,A05
294,468,282,A09
294,468,283,A09
294,469,282,A09
294,469,283,A09
294,469,284,A09
294,470,281,A09
294,470,282,A09
294,470,283,A09
294,470,284,A09
294,471,282,A09
294,471,283,A09
294,471,284,A09
294,472,282,A09
294,472,283,A09
294,472,394,A10
294,478,480,A11
294,499,582,A12
294,500,582,A12
294,500,583,A12
294,549,1451,S05
294,549,1452,S05
294,582,593,A16
294,582,612,A16
294,582,613,A16
294,583,613,A16
294,600,493,A15
294,601,492,A15
294,601,493,A15
294,601,494,A15
294,601,495,A15
294,602,492,A15
294,602,493,A15
294,602,494,A15
294,602,495,A15
294,603,494,A15
294,608,581,A16
294,912,301,S09
294,912,302,S09
294,913,300,S09
294,913,301,S09
294,913,302,S09
294,914,301,S09
294,1030,834,B09
294,1030,835,B09
294,1030,836,B09
294,1050,1055,B11
294,1050,1056,B11
294,1051,1055,B11
294,1051,1056,B11
294,1061,831,B09
294,1061,832,B09
294,1061,833,B09
294,1062,831,B09
294,1062,832,B09
295,284,1454,S03
295,296,1471,S03
295,296,1472,S03
295,386,510,A07
295,387,510,A07
295,387,511,A07
295,389,572,A08
295,479,482,A11
295,479,483,A11
295,480,482,A11
295,480,483,A11
295,553,1451,S05
295,554,1451,S05
295,778,1717,S07
295,831,846,B01
295,831,1037,B03
295,832,1037,B03
295,832,1038,B03
295,833,1037,B03
295,833,1038,B03
295,930,1035,B07
295,930,1036,B07
295,931,1035,B07
295,931,1036,B07
295,1067,848,B09
295,1067,849,B09
295,1074,844,B09
295,1074,845,B09
295,1074,1056,B11
295,1074,1057,B11
295,1075,843,B09
295,1075,844,B09
295,1075,845,B09
295,1075,1056,B11
295,1158,1071,B15
295,1159,1071,B15
296,253,384,A02
296,253,385,A02
296,254,384,A02
296,254,385,A02
296,267,300,A01
296,282,915,S01
296,282,916,S01
296,283,915,S01
296,283,916,S01
296,298,291,A01
296,361,595,A08
296,362,595,A08
296,362,596,A08
296,363,596,A08
296,372,611,A08
296,386,609,A08
296,386,610,A08
296,387,609,A08
296,387,610,A08
296,467,582,A12
296,467,601,A12
296,468,582,A12
296,468,583,A12
296,469,582,A12
296,469,583,A12
296,472,264,A09
296,476,291,A09
296,476,292,A09
296,477,291,A09
296,477,292,A09
296,477,293,A09
296,478,291,A09
296,478,292,A09
296,478,293,A09
296,479,292,A09
296,501,595,A12
296,501,596,A12
296,502,595,A12
296,502,596,A12
296,503,595,A12
296,503,596,A12
296,504,595,A12
296,504,596,A12
