Current_Filename,Previous_Filename,Neighbourhood,Number_of_outliers,Number_of_clusters,Number_of_points_in_cluster,Similarity,Latency
layer_1_object_1.png,No Previous File,10,405,15,150,NaN,405
layer_2_object_1.png,layer_1_object_1.png,10,405,25,276,16,279
layer_3_object_1.png,layer_2_object_1.png,10,405,26,292,13,269
layer_4_object_1.png,layer_3_object_1.png,10,405,24,213,11,323
layer_5_object_1.png,layer_4_object_1.png,10,405,24,224,5,293
layer_6_object_1.png,layer_5_object_1.png,10,405,28,274,8,262
layer_7_object_1.png,layer_6_object_1.png,10,405,25,295,19,428
layer_8_object_1.png,layer_7_object_1.png,10,405,27,341,9,282
layer_9_object_1.png,layer_8_object_1.png,10,405,26,253,29,339
layer_10_object_1.png,layer_9_object_1.png,10,405,25,224,27,260
layer_11_object_1.png,layer_10_object_1.png,10,405,18,219,6,287
layer_12_object_1.png,layer_11_object_1.png,10,405,25,283,9,352
layer_13_object_1.png,layer_12_object_1.png,10,405,23,313,11,452
layer_14_object_1.png,layer_13_object_1.png,10,405,23,262,26,292
layer_15_object_1.png,layer_14_object_1.png,10,405,22,228,19,341
layer_16_object_1.png,layer_15_object_1.png,10,405,18,231,4,293
layer_17_object_1.png,layer_16_object_1.png,10,405,24,268,23,286
layer_18_object_1.png,layer_17_object_1.png,10,405,23,292,25,346
layer_19_object_1.png,layer_18_object_1.png,10,405,25,314,17,392
layer_20_object_1.png,layer_19_object_1.png,10,405,21,233,34,298
layer_21_object_1.png,layer_20_object_1.png,10,405,25,266,20,415
layer_22_object_1.png,layer_21_object_1.png,10,405,25,276,8,327
layer_23_object_1.png,layer_22_object_1.png,10,405,26,305,5,286
layer_24_object_1.png,layer_23_object_1.png,10,405,26,319,19,444
layer_25_object_1.png,layer_24_object_1.png,10,405,26,268,34,375
layer_26_object_1.png,layer_25_object_1.png,10,405,26,244,17,432
layer_27_object_1.png,layer_26_object_1.png,10,405,21,271,12,434
layer_28_object_1.png,layer_27_object_1.png,10,405,23,274,22,458
layer_29_object_1.png,layer_28_object_1.png,10,405,25,310,20,313
layer_30_object_1.png,layer_29_object_1.png,10,405,26,304,13,414
layer_31_object_1.png,layer_30_object_1.png,10,405,29,286,8,408
