object_layer,startTime,neigborhoodSize,percent,nOfPtsInIMG,epsilon,minPts,cluPts/outPts,TP,FP,TN,FN,incHits,similarity[%],AVGclusterheight,endTime
object_A11_layer_290.png,611892548053200,10,0.01,2500,1.5,7,0.0,0,0,2500,0,0,NaN,NaN,611893142551800
object_A11_layer_291.png,611893143665100,10,0.01,2500,1.5,7,0.0,0,0,5000,0,0,0.0,0.0,611893170948900
object_A11_layer_292.png,611893171997200,10,0.01,2500,1.5,7,32.0,0,1,7499,0,0,0.0,0.0,611893197515800
object_A11_layer_293.png,611893198541300,10,0.01,2500,1.5,7,32.0,0,2,9997,1,0,0.0,0.0,611893220777200
object_A11_layer_294.png,611893221984300,10,0.01,2500,1.5,7,60.0,4,-1,12496,1,0,0.0,0.0,611893243131000
object_A11_layer_295.png,611893244326300,10,0.01,2500,1.5,7,32.0,4,0,14995,1,0,0.0,0.0,611893263250900
object_A11_layer_296.png,611893264186600,10,0.01,2500,1.5,7,80.0,4,1,17494,1,0,0.0,0.0,611893289014400
object_A11_layer_297.png,611893291331200,10,0.01,2500,1.5,7,48.0,7,-1,19993,1,0,0.0,0.0,611893311848800
object_A11_layer_298.png,611893313288300,10,0.01,2500,1.5,7,64.0,14,-6,22488,4,0,0.0,0.0,611893333133600
object_A11_layer_299.png,611893337436400,10,0.01,2500,1.5,7,64.0,14,-4,24986,4,0,0.0,2.0,611893357814500
object_A11_layer_300.png,611893358726500,10,0.01,2500,1.5,7,32.0,15,-4,27485,4,2,0.0,3.0,611893378669100
