object_layer,startTime,neigborhoodSize,percent,nOfPtsInIMG,epsilon,minPts,cluPts/outPts,TP,FP,TN,FN,incHits,similarity[%],AVGclusterheight,endTime
object_A11_layer_290.png,2110730509200,10,0.15,2500,1.5,7,51.733333333333334,0,194,2306,0,0,NaN,NaN,2111330723300
object_A11_layer_291.png,2111331841700,10,0.15,2500,1.5,7,61.333333333333336,0,424,4576,0,0,0.0,2.2857142857142856,2111356988800
object_A11_layer_292.png,2111358401999,10,0.15,2500,1.5,7,53.6,0,625,6875,0,0,0.0,2.230769230769231,2111381798000
object_A11_layer_293.png,2111383103600,10,0.15,2500,1.5,7,66.4,35,839,9126,0,0,0.0,2.5,2111403891300
object_A11_layer_294.png,2111406756600,10,0.15,2500,1.5,7,44.266666666666666,64,976,11459,1,1,0.0,2.55,2111431199600
object_A11_layer_295.png,2111432876100,10,0.15,2500,1.5,7,54.4,64,1180,13755,1,2,0.0,2.56,2111450361499
object_A11_layer_296.png,2111451734300,10,0.15,2500,1.5,7,61.6,64,1411,16024,1,2,0.0,2.608695652173913,2111475540000
object_A11_layer_297.png,2111477477100,10,0.15,2500,1.5,7,38.4,83,1536,18380,1,2,0.0,2.8076923076923075,2111498423399
object_A11_layer_298.png,2111499637600,10,0.15,2500,1.5,7,68.8,164,1713,20622,1,3,0.0,2.8666666666666667,2111515834700
object_A11_layer_299.png,2111517693299,10,0.15,2500,1.5,7,59.733333333333334,185,1916,22898,1,4,0.0,2.8620689655172415,2111535404500
object_A11_layer_300.png,2111536795200,10,0.15,2500,1.5,7,54.666666666666664,220,2086,25193,1,6,0.0,2.7142857142857144,2111599133600
object_A11_layer_301.png,2111600221600,10,0.15,2500,1.5,7,41.06666666666667,220,2240,27539,1,9,0.0,2.7857142857142856,2111615179999
object_A11_layer_302.png,2111616104000,10,0.15,2500,1.5,7,61.6,244,2447,29808,1,9,0.0,2.7777777777777777,2111630878200
object_A11_layer_303.png,2111632399600,10,0.15,2500,1.5,7,57.333333333333336,244,2662,32093,1,9,0.0,2.7777777777777777,2111647665300
object_A11_layer_304.png,2111648483200,10,0.15,2500,1.5,7,59.2,276,2852,34371,1,10,0.0,2.717391304347826,2111664321600
object_A11_layer_305.png,2111665830000,10,0.15,2500,1.5,7,56.8,276,3065,36658,1,11,0.0,2.792452830188679,2111679629300
object_A11_layer_306.png,2111680897600,10,0.15,2500,1.5,7,53.333333333333336,276,3265,38958,1,11,0.0,2.892857142857143,2111697284299
object_A11_layer_307.png,2111698413499,10,0.15,2500,1.5,7,50.666666666666664,276,3455,41268,1,11,0.0,2.754385964912281,2111722523600
object_A11_layer_308.png,2111723918100,10,0.15,2500,1.5,7,41.86666666666667,276,3612,43611,1,11,0.0,2.8275862068965516,2111738614100
object_A11_layer_309.png,2111739465499,10,0.15,2500,1.5,7,72.8,276,3885,45838,1,11,0.0,2.816666666666667,2111756138100
object_A11_layer_310.png,2111757125100,10,0.15,2500,1.5,7,40.8,276,4038,48185,1,11,0.0,2.769230769230769,2111772853300
object_A11_layer_311.png,2111774541400,10,0.15,2500,1.5,7,66.13333333333334,276,4286,50437,1,11,0.0,2.8309859154929575,2111790929100
object_A11_layer_312.png,2111791897200,10,0.15,2500,1.5,7,51.46666666666667,300,4455,52744,1,11,0.0,2.8450704225352115,2111805556899
object_A11_layer_313.png,2111807324300,10,0.15,2500,1.5,7,75.46666666666667,300,4738,54961,1,12,0.0,2.8076923076923075,2111822127300
object_A11_layer_314.png,2111823217700,10,0.15,2500,1.5,7,62.93333333333333,300,4974,57225,1,12,0.0,2.802469135802469,2111841438699
object_A11_layer_315.png,2111842439300,10,0.15,2500,1.5,7,54.666666666666664,330,5149,59520,1,12,0.0,2.888888888888889,2111857764700
object_A11_layer_316.png,2111858864200,10,0.15,2500,1.5,7,68.8,330,5407,61762,1,12,0.0,2.9069767441860463,2111874475600
object_A11_layer_317.png,2111875598799,10,0.15,2500,1.5,7,64.8,330,5650,64019,1,13,0.0,2.933333333333333,2111890717700
object_A11_layer_318.png,2111892710000,10,0.15,2500,1.5,7,65.6,330,5896,66273,1,13,0.0,2.905263157894737,2111906756900
object_A11_layer_319.png,2111907773300,10,0.15,2500,1.5,7,47.46666666666667,330,6074,68595,1,13,0.0,2.9583333333333335,2111922892800
object_A11_layer_320.png,2111924107299,10,0.15,2500,1.5,7,60.8,386,6246,70867,1,13,0.0,2.8867924528301887,2111940808899
object_A11_layer_321.png,2111941871800,10,0.15,2500,1.5,7,55.46666666666667,386,6454,73159,1,15,0.0,2.9056603773584904,2111958998400
object_A11_layer_322.png,2111960069000,10,0.15,2500,1.5,7,65.06666666666666,494,6590,75415,1,15,0.0,2.9345794392523366,2111976659999
object_A11_layer_323.png,2111978078799,10,0.15,2500,1.5,7,39.2,494,6737,77768,1,17,0.0,2.871559633027523,2111993256400
object_A11_layer_324.png,2111994436600,10,0.15,2500,1.5,7,74.4,572,6938,79989,1,18,0.0,2.8869565217391306,2112010676700
object_A11_layer_325.png,2112011602100,10,0.15,2500,1.5,7,70.4,572,7202,82225,1,19,0.0,2.9322033898305087,2112028196000
object_A11_layer_326.png,2112029293500,10,0.15,2500,1.5,7,41.6,591,7339,84569,1,20,0.0,2.9224137931034484,2112043344499
object_A11_layer_327.png,2112044464900,10,0.15,2500,1.5,7,73.33333333333333,652,7553,86794,1,20,0.0,2.9262295081967213,2112060432500
object_A11_layer_328.png,2112065001500,10,0.15,2500,1.5,7,60.8,669,7764,89066,1,22,0.0,2.935483870967742,2112080898100
object_A11_layer_329.png,2112082342300,10,0.15,2500,1.5,7,66.66666666666667,751,7932,91316,1,22,0.0,2.953125,2112099032700
object_A11_layer_330.png,2112100982800,10,0.15,2500,1.5,7,58.93333333333333,779,8125,93595,1,24,0.0,2.946969696969697,2112117747400
object_A11_layer_331.png,2112118931800,10,0.15,2500,1.5,7,77.6,868,8327,95804,1,26,0.0,2.927536231884058,2112135070599
object_A11_layer_332.png,2112135905600,10,0.15,2500,1.5,7,60.53333333333333,868,8554,98077,1,29,0.0,2.9565217391304346,2112150890100
object_A11_layer_333.png,2112152102900,10,0.15,2500,1.5,7,73.06666666666666,945,8751,100303,1,29,0.0,2.972413793103448,2112169019500
object_A11_layer_334.png,2112169894700,10,0.15,2500,1.5,7,68.26666666666667,945,9007,102547,1,31,0.0,2.9594594594594597,2112188605100
object_A11_layer_335.png,2112189812900,10,0.15,2500,1.5,7,50.93333333333333,945,9198,104856,1,32,0.0,2.9935064935064934,2112230946799
object_A11_layer_336.png,2112232403699,10,0.15,2500,1.5,7,66.66666666666667,945,9448,107106,1,32,0.0,2.973684210526316,2112250985400
object_A11_layer_337.png,2112252083800,10,0.15,2500,1.5,7,44.266666666666666,945,9614,109440,1,32,0.0,2.968944099378882,2112266515800
object_A11_layer_338.png,2112268768400,10,0.15,2500,1.5,7,63.46666666666667,1005,9792,111702,1,32,0.0,2.9872611464968153,2112282948000
object_A11_layer_339.png,2112284440500,10,0.15,2500,1.5,7,57.6,1079,9934,113986,1,33,0.0,3.011764705882353,2112298840999
object_A11_layer_340.png,2112299999200,10,0.15,2500,1.5,7,68.53333333333333,1104,10166,116229,1,34,0.0,3.0123456790123457,2112318123700
object_A11_layer_341.png,2112319256899,10,0.15,2500,1.5,7,49.86666666666667,1104,10353,118542,1,35,0.0,3.0,2112338077300
object_A11_layer_342.png,2112339042400,10,0.15,2500,1.5,7,70.4,1104,10617,120778,1,36,0.0,3.0346820809248554,2112355101600
object_A11_layer_343.png,2112356154900,10,0.15,2500,1.5,7,44.266666666666666,1104,10783,123112,1,36,0.0,3.0,2112371703400
object_A11_layer_344.png,2112372710799,10,0.15,2500,1.5,7,44.53333333333333,1104,10950,125445,1,36,0.0,3.0670391061452515,2112386019700
object_A11_layer_345.png,2112386966000,10,0.15,2500,1.5,7,49.06666666666667,1194,11044,127761,1,36,0.0,3.0285714285714285,2112401201499
object_A11_layer_346.png,2112402296500,10,0.15,2500,1.5,7,59.46666666666667,1194,11267,130038,1,36,0.0,2.9945355191256833,2112417501900
object_A11_layer_347.png,2112418442900,10,0.15,2500,1.5,7,69.86666666666666,1223,11500,132276,1,37,0.0,2.989247311827957,2112434594700
object_A11_layer_348.png,2112435577600,10,0.15,2500,1.5,7,53.6,1223,11701,134575,1,38,0.0,2.9791666666666665,2112452627199
object_A11_layer_349.png,2112454634199,10,0.15,2500,1.5,7,56.0,1248,11886,136865,1,38,0.0,2.973684210526316,2112468375300
object_A11_layer_350.png,2112469641499,10,0.15,2500,1.5,7,42.93333333333333,1248,12047,139204,1,39,0.0,3.0,2112483001600
object_A11_layer_351.png,2112484014499,10,0.15,2500,1.5,7,66.13333333333334,1248,12295,141456,1,39,0.0,2.9743589743589745,2112499547800
