object_layer,startTime,neigborhoodSize,percent,nOfPtsInIMG,epsilon,minPts,cluPts/outPts,TP,FP,TN,FN,incHits,similarity[%],AVGclusterheight,endTime
object_A11_layer_290.png,85044180645300,10,0.15,2500,1.5,7,51.733333333333334,0,0,0,0,0,NaN,NaN,85044755830400
object_A11_layer_291.png,85044757369200,10,0.15,2500,1.5,7,61.333333333333336,0,0,0,0,0,0.0,2.2857142857142856,85044782488100
object_A11_layer_292.png,85044784231600,10,0.15,2500,1.5,7,53.6,0,0,0,0,0,0.0,2.230769230769231,85044813789300
object_A11_layer_293.png,85044815110200,10,0.15,2500,1.5,7,66.4,0,0,0,0,0,0.0,2.5,85044845873200
object_A11_layer_294.png,85044847847300,10,0.15,2500,1.5,7,44.266666666666666,0,0,0,0,0,0.0,2.55,85044865263000
object_A11_layer_295.png,85044866738600,10,0.15,2500,1.5,7,54.4,0,0,0,0,0,0.0,2.56,85044883762900
object_A11_layer_296.png,85044884887500,10,0.15,2500,1.5,7,61.6,0,0,0,0,0,0.0,2.608695652173913,85044902694700
object_A11_layer_297.png,85044903562400,10,0.15,2500,1.5,7,38.4,0,0,0,0,0,0.0,2.8076923076923075,85044919367200
object_A11_layer_298.png,85044920350100,10,0.15,2500,1.5,7,68.8,0,0,0,0,0,0.0,2.8666666666666667,85044937328200
object_A11_layer_299.png,85044938231600,10,0.15,2500,1.5,7,59.733333333333334,0,0,0,0,0,0.0,2.8620689655172415,85044960727500
object_A11_layer_300.png,85044961600100,10,0.15,2500,1.5,7,54.666666666666664,0,0,0,0,0,0.0,2.7142857142857144,85044978146400
object_A11_layer_301.png,85044979114000,10,0.15,2500,1.5,7,41.06666666666667,0,0,0,0,0,0.0,2.7857142857142856,85044999093500
object_A11_layer_302.png,85045000056300,10,0.15,2500,1.5,7,61.6,0,0,0,0,0,0.0,2.7777777777777777,85045017812500
object_A11_layer_303.png,85045018831500,10,0.15,2500,1.5,7,57.333333333333336,0,0,0,0,0,0.0,2.7777777777777777,85045038533800
object_A11_layer_304.png,85045039451400,10,0.15,2500,1.5,7,59.2,0,0,0,0,0,0.0,2.717391304347826,85045058298900
object_A11_layer_305.png,85045059254900,10,0.15,2500,1.5,7,56.8,0,0,0,0,0,0.0,2.792452830188679,85045088868400
object_A11_layer_306.png,85045089751000,10,0.15,2500,1.5,7,53.333333333333336,0,0,0,0,0,0.0,2.892857142857143,85045108793200
object_A11_layer_307.png,85045109811500,10,0.15,2500,1.5,7,50.666666666666664,0,0,0,0,0,0.0,2.754385964912281,85045126586800
object_A11_layer_308.png,85045127445300,10,0.15,2500,1.5,7,41.86666666666667,0,0,0,0,0,0.0,2.8275862068965516,85045145215000
object_A11_layer_309.png,85045146092600,10,0.15,2500,1.5,7,72.8,0,0,0,0,0,0.0,2.816666666666667,85045162993600
object_A11_layer_310.png,85045163919800,10,0.15,2500,1.5,7,40.8,0,0,0,0,0,0.0,2.769230769230769,85045181455300
