object_layer,startTime,neigborhoodSize,percent,nOfPtsInIMG,epsilon,minPts,cluPts/outPts,TP,FP,TN,FN,incHits,similarity[%],AVGclusterheight,endTime
object_B10_layer_290.png,2455948934700,10,0.05,2500,1.5,7,33.6,0,42,2458,0,0,NaN,NaN,2456587178500
object_B10_layer_291.png,2456588419200,10,0.05,2500,1.5,7,27.2,0,76,4924,0,0,0.0,0.0,2456612718600
object_B10_layer_292.png,2456613778200,10,0.05,2500,1.5,7,24.8,0,107,7393,0,0,0.0,2.0,2456631915500
object_B10_layer_293.png,2456633369000,10,0.05,2500,1.5,7,22.4,0,135,9865,0,0,0.0,2.0,2456652884400
object_B10_layer_294.png,2456653798000,10,0.05,2500,1.5,7,30.4,0,173,12327,0,0,0.0,2.0,2456670433600
object_B10_layer_295.png,2456671470000,10,0.05,2500,1.5,7,44.8,0,229,14771,0,0,0.0,2.0,2456684808100
object_B10_layer_296.png,2456687674400,10,0.05,2500,1.5,7,35.2,34,239,17227,0,0,0.0,2.0,2456698646700
object_B10_layer_297.png,2456699540200,10,0.05,2500,1.5,7,9.6,34,251,19715,0,0,0.0,2.0,2456713460400
object_B10_layer_298.png,2456714261600,10,0.05,2500,1.5,7,37.6,34,298,22168,0,0,0.0,2.0,2456727934400
object_B10_layer_299.png,2456729628300,10,0.05,2500,1.5,7,24.0,34,328,24638,0,0,0.0,2.0,2456740735800
object_B10_layer_300.png,2456741615700,10,0.05,2500,1.5,7,31.2,34,367,27099,0,0,0.0,2.0,2456758737500
object_B10_layer_301.png,2456759712800,10,0.05,2500,1.5,7,8.0,34,377,29589,0,0,0.0,2.0,2456772513800
object_B10_layer_302.png,2456773354000,10,0.05,2500,1.5,7,23.2,34,406,32060,0,0,0.0,2.0,2456783994500
object_B10_layer_303.png,2456784884200,10,0.05,2500,1.5,7,0.0,34,406,34560,0,0,0.0,2.0,2456796136600
object_B10_layer_304.png,2456797001700,10,0.05,2500,1.5,7,19.2,34,430,37036,0,0,0.0,2.0,2456807959700
object_B10_layer_305.png,2456809629900,10,0.05,2500,1.5,7,52.8,34,496,39470,0,0,0.0,2.0,2456820910900
object_B10_layer_306.png,2456821876000,10,0.05,2500,1.5,7,40.8,34,547,41919,0,0,0.0,2.0,2456834685400
object_B10_layer_307.png,2456836014600,10,0.05,2500,1.5,7,20.0,34,572,44394,0,0,0.0,2.0,2456848988400
object_B10_layer_308.png,2456850787200,10,0.05,2500,1.5,7,26.4,46,593,46861,0,0,0.0,2.3333333333333335,2456862522600
object_B10_layer_309.png,2456863403700,10,0.05,2500,1.5,7,36.8,62,623,49315,0,0,0.0,2.142857142857143,2456876438500
object_B10_layer_310.png,2456877543300,10,0.05,2500,1.5,7,24.0,62,653,51785,0,1,0.0,2.1666666666666665,2456887760200
object_B10_layer_311.png,2456888589000,10,0.05,2500,1.5,7,17.6,62,675,54263,0,1,0.0,2.1666666666666665,2456899661000
object_B10_layer_312.png,2456900615200,10,0.05,2500,1.5,7,24.8,62,706,56732,0,1,0.0,2.1666666666666665,2456910849600
object_B10_layer_313.png,2456912041400,10,0.05,2500,1.5,7,51.2,88,744,59168,0,1,0.0,2.142857142857143,2456923193600
object_B10_layer_314.png,2456923997200,10,0.05,2500,1.5,7,24.0,105,757,61638,0,2,0.0,2.4285714285714284,2456935860400
object_B10_layer_315.png,2456937397500,10,0.05,2500,1.5,7,41.6,105,809,64086,0,3,0.0,2.4285714285714284,2456949761500
object_B10_layer_316.png,2456950744500,10,0.05,2500,1.5,7,27.2,105,843,66552,0,3,0.0,2.4285714285714284,2456961937300
object_B10_layer_317.png,2456962784400,10,0.05,2500,1.5,7,21.6,116,859,69025,0,3,0.0,2.4285714285714284,2456975412500
object_B10_layer_318.png,2456976802900,10,0.05,2500,1.5,7,6.4,116,867,71517,0,3,0.0,2.4285714285714284,2456987463300
object_B10_layer_319.png,2456988446700,10,0.05,2500,1.5,7,32.0,116,907,73977,0,3,0.0,2.4285714285714284,2457000828600
object_B10_layer_320.png,2457001762200,10,0.05,2500,1.5,7,35.2,116,951,76433,0,3,0.0,2.4285714285714284,2457011786000
object_B10_layer_321.png,2457012891500,10,0.05,2500,1.5,7,32.0,116,991,78893,0,3,0.0,2.4285714285714284,2457026719800
object_B10_layer_322.png,2457027925200,10,0.05,2500,1.5,7,33.6,116,1033,81351,0,3,0.0,2.4285714285714284,2457045184800
object_B10_layer_323.png,2457046146600,10,0.05,2500,1.5,7,33.6,116,1075,83809,0,3,0.0,2.375,2457055784400
object_B10_layer_324.png,2457056817700,10,0.05,2500,1.5,7,21.6,116,1102,86282,0,3,0.0,2.375,2457068026100
object_B10_layer_325.png,2457068830800,10,0.05,2500,1.5,7,40.8,116,1153,88731,0,3,0.0,2.3,2457079539700
object_B10_layer_326.png,2457080837000,10,0.05,2500,1.5,7,23.2,137,1161,91202,0,3,0.0,2.3,2457091575800
object_B10_layer_327.png,2457092390900,10,0.05,2500,1.5,7,44.8,137,1217,93646,0,4,0.0,2.4545454545454546,2457104035900
object_B10_layer_328.png,2457105297900,10,0.05,2500,1.5,7,12.0,137,1232,96131,0,4,0.0,2.4,2457116592600
object_B10_layer_329.png,2457117389600,10,0.05,2500,1.5,7,0.0,137,1232,98631,0,4,0.0,2.4,2457127770800
object_B10_layer_330.png,2457131300500,10,0.05,2500,1.5,7,17.6,137,1254,101109,0,4,0.0,2.4,2457141598400
object_B10_layer_331.png,2457143763000,10,0.05,2500,1.5,7,49.6,151,1302,103547,0,4,0.0,2.4,2457155157300
object_B10_layer_332.png,2457155959900,10,0.05,2500,1.5,7,30.4,151,1340,106009,0,4,0.0,2.3333333333333335,2457167957100
object_B10_layer_333.png,2457168987700,10,0.05,2500,1.5,7,28.0,151,1375,108474,0,4,0.0,2.4166666666666665,2457180657200
object_B10_layer_334.png,2457181731900,10,0.05,2500,1.5,7,16.8,151,1396,110953,0,4,0.0,2.5384615384615383,2457193706300
object_B10_layer_335.png,2457194513000,10,0.05,2500,1.5,7,21.6,151,1423,113426,0,4,0.0,2.4285714285714284,2457205417900
object_B10_layer_336.png,2457207511700,10,0.05,2500,1.5,7,30.4,151,1461,115888,0,4,0.0,2.4615384615384617,2457217493300
object_B10_layer_337.png,2457218438000,10,0.05,2500,1.5,7,27.2,151,1495,118354,0,4,0.0,2.4,2457234118300
object_B10_layer_338.png,2457234927500,10,0.05,2500,1.5,7,38.4,151,1543,120806,0,4,0.0,2.375,2457245786500
object_B10_layer_339.png,2457246929500,10,0.05,2500,1.5,7,24.0,151,1573,123276,0,4,0.0,2.4,2457258064200
object_B10_layer_340.png,2457259064900,10,0.05,2500,1.5,7,30.4,151,1611,125738,0,4,0.0,2.375,2457271707600
object_B10_layer_341.png,2457272565000,10,0.05,2500,1.5,7,8.0,151,1621,128228,0,4,0.0,2.3333333333333335,2457282270700
object_B10_layer_342.png,2457283174900,10,0.05,2500,1.5,7,24.0,151,1651,130698,0,4,0.0,2.3529411764705883,2457295511500
object_B10_layer_343.png,2457296556900,10,0.05,2500,1.5,7,30.4,151,1689,133160,0,4,0.0,2.2857142857142856,2457307096700
object_B10_layer_344.png,2457308600200,10,0.05,2500,1.5,7,31.2,151,1728,135621,0,4,0.0,2.3684210526315788,2457321816900
object_B10_layer_345.png,2457322584000,10,0.05,2500,1.5,7,40.0,151,1778,138071,0,4,0.0,2.3333333333333335,2457335151700
object_B10_layer_346.png,2457336252900,10,0.05,2500,1.5,7,33.6,151,1820,140529,0,4,0.0,2.3333333333333335,2457346030800
object_B10_layer_347.png,2457346780700,10,0.05,2500,1.5,7,39.2,192,1828,142980,0,4,0.0,2.3043478260869565,2457357886500
object_B10_layer_348.png,2457359043600,10,0.05,2500,1.5,7,20.8,200,1846,145454,0,5,0.0,2.3043478260869565,2457369545900
object_B10_layer_349.png,2457371166400,10,0.05,2500,1.5,7,36.8,200,1892,147908,0,6,0.0,2.3333333333333335,2457381861600
object_B10_layer_350.png,2457382682700,10,0.05,2500,1.5,7,0.0,200,1892,150408,0,6,0.0,2.3333333333333335,2457395874700
object_B10_layer_351.png,2457396685800,10,0.05,2500,1.5,7,67.2,216,1960,152824,0,6,0.0,2.3333333333333335,2457406357100
object_B10_layer_352.png,2457409201000,10,0.05,2500,1.5,7,10.4,216,1973,155311,0,6,0.0,2.32,2457420353000
object_B10_layer_353.png,2457421134500,10,0.05,2500,1.5,7,18.4,216,1996,157788,0,7,0.0,2.32,2457431158500
object_B10_layer_354.png,2457432275000,10,0.05,2500,1.5,7,21.6,216,2023,160261,0,7,0.0,2.3076923076923075,2457443060100
object_B10_layer_355.png,2457443869700,10,0.05,2500,1.5,7,16.8,216,2044,162740,0,7,0.0,2.3076923076923075,2457454760000
object_B10_layer_356.png,2457457137700,10,0.05,2500,1.5,7,31.2,216,2083,165201,0,7,0.0,2.3076923076923075,2457467482700
object_B10_layer_357.png,2457468244200,10,0.05,2500,1.5,7,21.6,216,2110,167674,0,7,0.0,2.3076923076923075,2457481177800
object_B10_layer_358.png,2457482263000,10,0.05,2500,1.5,7,27.2,216,2144,170140,0,7,0.0,2.3076923076923075,2457491909100
object_B10_layer_359.png,2457492658900,10,0.05,2500,1.5,7,12.0,231,2144,172625,0,7,0.0,2.3076923076923075,2457505538400
object_B10_layer_360.png,2457506408000,10,0.05,2500,1.5,7,42.4,248,2180,175072,0,7,0.0,2.2857142857142856,2457517422300
object_B10_layer_361.png,2457519120400,10,0.05,2500,1.5,7,69.6,293,2222,177485,0,9,0.0,2.2758620689655173,2457529120500
object_B10_layer_362.png,2457530156100,10,0.05,2500,1.5,7,21.6,293,2249,179958,0,10,0.0,2.3214285714285716,2457542591100
object_B10_layer_363.png,2457543437900,10,0.05,2500,1.5,7,24.0,293,2279,182428,0,10,0.0,2.3214285714285716,2457553583800
object_B10_layer_364.png,2457554510600,10,0.05,2500,1.5,7,53.6,301,2338,184861,0,10,0.0,2.3,2457565627300
object_B10_layer_365.png,2457566637400,10,0.05,2500,1.5,7,30.4,301,2376,187323,0,10,0.0,2.3333333333333335,2457577819500
object_B10_layer_366.png,2457579200400,10,0.05,2500,1.5,7,31.2,316,2400,189784,0,10,0.0,2.3870967741935485,2457592287600
object_B10_layer_367.png,2457593068400,10,0.05,2500,1.5,7,20.8,316,2426,192258,0,10,0.0,2.3666666666666667,2457605371600
object_B10_layer_368.png,2457606692700,10,0.05,2500,1.5,7,23.2,316,2455,194729,0,10,0.0,2.34375,2457617420900
