object_layer,startTime,neigborhoodSize,percent,nOfPtsInIMG,epsilon,minPts,cluPts/outPts,TP,FP,TN,FN,incHits,similarity[%],AVGclusterheight,endTime
object_B10_layer_290.png,182785208735800,10,0.05,2500,1.5,7,33.6,0,4,2496,0,0,NaN,NaN,182785894420300
object_B10_layer_291.png,182785896353300,10,0.05,2500,1.5,7,27.2,0,8,4992,0,0,0.0,0.0,182785919123800
object_B10_layer_292.png,182785920212300,10,0.05,2500,1.5,7,24.8,0,11,7489,0,0,0.043402777777777776,2.0,182785943811000
object_B10_layer_293.png,182785945987700,10,0.05,2500,1.5,7,22.4,0,13,9987,0,0,0.0,2.0,182785958757600
object_B10_layer_294.png,182785959919600,10,0.05,2500,1.5,7,30.4,0,16,12484,0,0,0.10850694444444445,2.0,182785975416100
object_B10_layer_295.png,182785976388400,10,0.05,2500,1.5,7,44.8,0,20,14980,0,0,0.0,2.0,182785992476000
object_B10_layer_296.png,182785993926200,10,0.05,2500,1.5,7,35.2,2,21,17477,0,0,0.0,2.0,182786011479900
object_B10_layer_297.png,182786013067100,10,0.05,2500,1.5,7,9.6,2,22,19976,0,0,0.0,2.0,182786026027900
object_B10_layer_298.png,182786027425700,10,0.05,2500,1.5,7,37.6,2,26,22472,0,0,0.0,2.0,182786040072500
object_B10_layer_299.png,182786040924100,10,0.05,2500,1.5,7,24.0,2,28,24970,0,0,0.0,2.0,182786058017000
object_B10_layer_300.png,182786059088500,10,0.05,2500,1.5,7,31.2,2,32,27466,0,0,0.0,2.0,182786075088400
object_B10_layer_301.png,182786076235400,10,0.05,2500,1.5,7,8.0,2,33,29965,0,0,0.0,2.0,182786093757000
object_B10_layer_302.png,182786094823800,10,0.05,2500,1.5,7,23.2,2,35,32463,0,0,0.0,2.0,182786109289200
object_B10_layer_303.png,182786111226200,10,0.05,2500,1.5,7,0.0,2,35,34963,0,0,0.0,2.0,182786123202100
object_B10_layer_304.png,182786124397300,10,0.05,2500,1.5,7,19.2,2,37,37461,0,0,0.0,2.0,182786138824400
object_B10_layer_305.png,182786139608900,10,0.05,2500,1.5,7,52.8,2,41,39957,0,0,0.0,2.0,182786155039300
object_B10_layer_306.png,182786156353800,10,0.05,2500,1.5,7,40.8,2,45,42453,0,0,0.0,2.0,182786170168200
object_B10_layer_307.png,182786173977600,10,0.05,2500,1.5,7,20.0,2,47,44951,0,0,0.1519097222222222,2.0,182786188339400
object_B10_layer_308.png,182786189319900,10,0.05,2500,1.5,7,26.4,3,49,47448,0,0,0.043402777777777776,2.3333333333333335,182786201392800
object_B10_layer_309.png,182786202541700,10,0.05,2500,1.5,7,36.8,4,52,49944,0,0,0.06510416666666667,2.142857142857143,182786217631600
object_B10_layer_310.png,182786218962900,10,0.05,2500,1.5,7,24.0,4,55,52441,0,1,0.054253472222222224,2.1666666666666665,182786229921700
object_B10_layer_311.png,182786230762900,10,0.05,2500,1.5,7,17.6,4,57,54939,0,1,0.0,2.1666666666666665,182786245113400
object_B10_layer_312.png,182786245925800,10,0.05,2500,1.5,7,24.8,4,60,57436,0,1,0.0,2.1666666666666665,182786259935100
object_B10_layer_313.png,182786261297500,10,0.05,2500,1.5,7,51.2,5,63,59932,0,1,0.021701388888888888,2.142857142857143,182786275810400
object_B10_layer_314.png,182786277022500,10,0.05,2500,1.5,7,24.0,6,64,62430,0,2,0.1193576388888889,2.4285714285714284,182786288927700
object_B10_layer_315.png,182786289792200,10,0.05,2500,1.5,7,41.6,6,68,64926,0,3,0.0,2.4285714285714284,182786304988400
object_B10_layer_316.png,182786306079300,10,0.05,2500,1.5,7,27.2,6,70,67424,0,3,0.0,2.4285714285714284,182786319743900
object_B10_layer_317.png,182786321427000,10,0.05,2500,1.5,7,21.6,7,72,69921,0,3,0.0,2.4285714285714284,182786332303100
object_B10_layer_318.png,182786333260700,10,0.05,2500,1.5,7,6.4,7,73,72420,0,3,0.0,2.4285714285714284,182786347511500
object_B10_layer_319.png,182786348454100,10,0.05,2500,1.5,7,32.0,7,77,74916,0,3,0.0,2.4285714285714284,182786360058700
object_B10_layer_320.png,182786361414400,10,0.05,2500,1.5,7,35.2,7,82,77411,0,3,0.0,2.4285714285714284,182786373043000
object_B10_layer_321.png,182786374099400,10,0.05,2500,1.5,7,32.0,7,86,79907,0,3,0.0,2.4285714285714284,182786389613400
object_B10_layer_322.png,182786390592200,10,0.05,2500,1.5,7,33.6,7,90,82403,0,3,0.0,2.4285714285714284,182786405074400
object_B10_layer_323.png,182786406372600,10,0.05,2500,1.5,7,33.6,7,94,84899,0,3,0.10850694444444445,2.375,182786417147100
object_B10_layer_324.png,182786417996900,10,0.05,2500,1.5,7,21.6,7,96,87397,0,3,0.0,2.375,182786432216400
object_B10_layer_325.png,182786433146900,10,0.05,2500,1.5,7,40.8,7,101,89892,0,3,0.021701388888888888,2.3,182786446777500
object_B10_layer_326.png,182786447951900,10,0.05,2500,1.5,7,23.2,8,102,92390,0,3,0.0759548611111111,2.3,182786458861700
object_B10_layer_327.png,182786459658300,10,0.05,2500,1.5,7,44.8,8,106,94886,0,4,0.1410590277777778,2.4545454545454546,182786473284400
object_B10_layer_328.png,182786474022500,10,0.05,2500,1.5,7,12.0,8,107,97385,0,4,0.0,2.4,182786497322800
object_B10_layer_329.png,182786498112100,10,0.05,2500,1.5,7,0.0,8,107,99885,0,4,0.0,2.4,182786510491000
object_B10_layer_330.png,182786511484900,10,0.05,2500,1.5,7,17.6,8,109,102383,0,4,0.0,2.4,182786521919800
object_B10_layer_331.png,182786522689900,10,0.05,2500,1.5,7,49.6,9,112,104879,0,4,0.0,2.4,182786535643400
object_B10_layer_332.png,182786536410900,10,0.05,2500,1.5,7,30.4,9,115,107376,0,4,0.021701388888888888,2.3333333333333335,182786550302000
object_B10_layer_333.png,182786552024100,10,0.05,2500,1.5,7,28.0,9,117,109874,0,4,0.1953125,2.4166666666666665,182786563279400
object_B10_layer_334.png,182786564184800,10,0.05,2500,1.5,7,16.8,9,119,112372,0,4,0.0,2.5384615384615383,182786575539800
object_B10_layer_335.png,182786576355600,10,0.05,2500,1.5,7,21.6,9,122,114869,0,4,0.0,2.4285714285714284,182786592226300
object_B10_layer_336.png,182786593615700,10,0.05,2500,1.5,7,30.4,9,126,117365,0,4,0.0,2.4615384615384617,182786604167300
object_B10_layer_337.png,182786604977200,10,0.05,2500,1.5,7,27.2,9,129,119862,0,4,0.021701388888888888,2.4,182786618809100
object_B10_layer_338.png,182786619653100,10,0.05,2500,1.5,7,38.4,9,134,122357,0,4,0.06510416666666667,2.375,182786631631700
object_B10_layer_339.png,182786633390400,10,0.05,2500,1.5,7,24.0,9,137,124854,0,4,0.0,2.4,182786643882000
object_B10_layer_340.png,182786644776900,10,0.05,2500,1.5,7,30.4,9,140,127351,0,4,0.054253472222222224,2.375,182786658637100
object_B10_layer_341.png,182786659508400,10,0.05,2500,1.5,7,8.0,9,141,129850,0,4,0.043402777777777776,2.3333333333333335,182786670333700
object_B10_layer_342.png,182786673777200,10,0.05,2500,1.5,7,24.0,9,143,132348,0,4,0.0,2.3529411764705883,182786686727900
object_B10_layer_343.png,182786687537800,10,0.05,2500,1.5,7,30.4,9,146,134845,0,4,0.1736111111111111,2.2857142857142856,182786700155900
object_B10_layer_344.png,182786700896800,10,0.05,2500,1.5,7,31.2,9,149,137342,0,4,0.043402777777777776,2.3684210526315788,182786711527600
object_B10_layer_345.png,182786715004500,10,0.05,2500,1.5,7,40.0,9,153,139838,0,4,0.010850694444444444,2.3333333333333335,182786726722700
object_B10_layer_346.png,182786727650100,10,0.05,2500,1.5,7,33.6,9,157,142334,0,4,0.0,2.3333333333333335,182786742741000
object_B10_layer_347.png,182786743659100,10,0.05,2500,1.5,7,39.2,11,158,144831,0,4,0.1193576388888889,2.3043478260869565,182786761710600
object_B10_layer_348.png,182786762996600,10,0.05,2500,1.5,7,20.8,12,160,147328,0,5,0.10850694444444445,2.3043478260869565,182786774072900
object_B10_layer_349.png,182786775593900,10,0.05,2500,1.5,7,36.8,12,164,149824,0,6,0.054253472222222224,2.3333333333333335,182786787356800
object_B10_layer_350.png,182786788197800,10,0.05,2500,1.5,7,0.0,12,164,152324,0,6,0.0,2.3333333333333335,182786803506600
object_B10_layer_351.png,182786804585100,10,0.05,2500,1.5,7,67.2,13,170,154817,0,6,0.0,2.3333333333333335,182786815412600
object_B10_layer_352.png,182786816337700,10,0.05,2500,1.5,7,10.4,13,171,157316,0,6,0.043402777777777776,2.32,182786830323600
object_B10_layer_353.png,182786831262600,10,0.05,2500,1.5,7,18.4,13,173,159814,0,7,0.0,2.32,182786844339400
object_B10_layer_354.png,182786845208800,10,0.05,2500,1.5,7,21.6,13,175,162312,0,7,0.06510416666666667,2.3076923076923075,182786855444400
object_B10_layer_355.png,182786856382500,10,0.05,2500,1.5,7,16.8,13,177,164810,0,7,0.0,2.3076923076923075,182786871007000
object_B10_layer_356.png,182786872197000,10,0.05,2500,1.5,7,31.2,13,181,167306,0,7,0.0,2.3076923076923075,182786888483800
object_B10_layer_357.png,182786889630300,10,0.05,2500,1.5,7,21.6,13,184,169803,0,7,0.0,2.3076923076923075,182786905147900
object_B10_layer_358.png,182786906049500,10,0.05,2500,1.5,7,27.2,13,188,172299,0,7,0.0,2.3076923076923075,182786916141600
object_B10_layer_359.png,182786916873000,10,0.05,2500,1.5,7,12.0,14,188,174798,0,7,0.0,2.3076923076923075,182786930922000
object_B10_layer_360.png,182786931691500,10,0.05,2500,1.5,7,42.4,15,191,177294,0,7,0.13020833333333334,2.2857142857142856,182786944432000
object_B10_layer_361.png,182786946005300,10,0.05,2500,1.5,7,69.6,18,195,179787,0,9,0.09765625,2.2758620689655173,182786957257800
object_B10_layer_362.png,182786958072400,10,0.05,2500,1.5,7,21.6,18,197,182285,0,10,0.1519097222222222,2.3214285714285716,182786971646500
object_B10_layer_363.png,182786972588900,10,0.05,2500,1.5,7,24.0,18,200,184782,0,10,0.0,2.3214285714285716,182786983325200
object_B10_layer_364.png,182786988891400,10,0.05,2500,1.5,7,53.6,19,206,187275,0,10,0.0759548611111111,2.3,182787001879700
object_B10_layer_365.png,182787002617700,10,0.05,2500,1.5,7,30.4,19,210,189771,0,10,0.021701388888888888,2.3333333333333335,182787019626400
object_B10_layer_366.png,182787020573900,10,0.05,2500,1.5,7,31.2,20,213,192267,0,10,0.032552083333333336,2.3870967741935485,182787033174900
object_B10_layer_367.png,182787034228800,10,0.05,2500,1.5,7,20.8,20,215,194765,0,10,0.0,2.3666666666666667,182787052777200
object_B10_layer_368.png,182787053627300,10,0.05,2500,1.5,7,23.2,20,218,197262,0,10,0.043402777777777776,2.34375,182787063995000
object_B10_layer_369.png,182787064931400,10,0.05,2500,1.5,7,36.0,20,223,199757,0,10,0.054253472222222224,2.3333333333333335,182787078261700
object_B10_layer_370.png,182787079035300,10,0.05,2500,1.5,7,19.2,21,224,202255,0,10,0.0,2.3333333333333335,182787092588800
object_B10_layer_371.png,182787093969900,10,0.05,2500,1.5,7,29.6,21,227,204752,0,10,0.0,2.3333333333333335,182787106940100
object_B10_layer_372.png,182787108321600,10,0.05,2500,1.5,7,32.0,21,231,207248,0,10,0.0,2.3333333333333335,182787119482800
object_B10_layer_373.png,182787120333900,10,0.05,2500,1.5,7,13.6,21,232,209747,0,10,0.0,2.3333333333333335,182787162127200
object_B10_layer_374.png,182787163092800,10,0.05,2500,1.5,7,38.4,22,234,212244,0,10,0.0,2.3333333333333335,182787181242200
object_B10_layer_375.png,182787182090400,10,0.05,2500,1.5,7,32.8,22,238,214740,0,10,0.0,2.3333333333333335,182787194122300
object_B10_layer_376.png,182787196064100,10,0.05,2500,1.5,7,42.4,22,241,217237,0,10,0.021701388888888888,2.3142857142857145,182787206481600
object_B10_layer_377.png,182787207194400,10,0.05,2500,1.5,7,28.0,23,243,219734,0,10,0.1736111111111111,2.3142857142857145,182787221706800
object_B10_layer_378.png,182787222552900,10,0.05,2500,1.5,7,63.2,24,247,222229,0,10,0.10850694444444445,2.3333333333333335,182787237324200
object_B10_layer_379.png,182787240796000,10,0.05,2500,1.5,7,55.2,26,252,224722,0,11,0.2170138888888889,2.3684210526315788,182787251720100
object_B10_layer_380.png,182787252698700,10,0.05,2500,1.5,7,0.0,26,252,227222,0,13,0.0,2.3684210526315788,182787267620300
object_B10_layer_381.png,182787268448500,10,0.05,2500,1.5,7,28.8,26,255,229719,0,13,0.0,2.3684210526315788,182787281460100
object_B10_layer_382.png,182787282358700,10,0.05,2500,1.5,7,39.2,26,260,232214,0,13,0.08680555555555555,2.358974358974359,182787293096800
object_B10_layer_383.png,182787293844700,10,0.05,2500,1.5,7,20.0,27,261,234712,0,13,0.0,2.3846153846153846,182787306828700
object_B10_layer_384.png,182787307685400,10,0.05,2500,1.5,7,32.8,27,265,237207,1,14,0.054253472222222224,2.41025641025641,182787323483900
object_B10_layer_385.png,182787324345000,10,0.05,2500,1.5,7,28.0,27,268,239703,2,14,0.032552083333333336,2.4,182787334494300
object_B10_layer_386.png,182787335277900,10,0.05,2500,1.5,7,45.6,27,273,242198,2,14,0.06510416666666667,2.3902439024390243,182787352339300
object_B10_layer_387.png,182787353126500,10,0.05,2500,1.5,7,60.8,28,278,244692,2,14,0.1193576388888889,2.4146341463414633,182787365681600
object_B10_layer_388.png,182787366738000,10,0.05,2500,1.5,7,38.4,30,280,247188,2,14,0.16276041666666666,2.4285714285714284,182787376491100
object_B10_layer_389.png,182787377422200,10,0.05,2500,1.5,7,35.2,31,282,249685,2,15,0.0759548611111111,2.409090909090909,182787390403900
object_B10_layer_390.png,182787391207600,10,0.05,2500,1.5,7,41.6,32,285,252181,2,16,0.1193576388888889,2.409090909090909,182787405251000
object_B10_layer_391.png,182787406482500,10,0.05,2500,1.5,7,32.0,32,289,254677,2,17,0.0,2.4318181818181817,182787416895900
object_B10_layer_392.png,182787417606100,10,0.05,2500,1.5,7,21.6,32,291,257175,2,17,0.0,2.4318181818181817,182787430629300
object_B10_layer_393.png,182787431474500,10,0.05,2500,1.5,7,30.4,32,295,259671,2,17,0.0,2.4318181818181817,182787446481700
object_B10_layer_394.png,182787447643200,10,0.05,2500,1.5,7,14.4,32,296,262170,2,17,0.0,2.4318181818181817,182787460284500
object_B10_layer_395.png,182787461144800,10,0.05,2500,1.5,7,31.2,32,299,264667,2,17,0.0,2.4318181818181817,182787474612700
object_B10_layer_396.png,182787475586900,10,0.05,2500,1.5,7,44.0,32,304,267162,2,17,0.021701388888888888,2.4130434782608696,182787491183600
object_B10_layer_397.png,182787492184400,10,0.05,2500,1.5,7,31.2,32,308,269658,2,17,0.06510416666666667,2.404255319148936,182787502788700
object_B10_layer_398.png,182787504162800,10,0.05,2500,1.5,7,44.8,32,314,272152,2,17,0.043402777777777776,2.3958333333333335,182787515627900
object_B10_layer_399.png,182787516431500,10,0.05,2500,1.5,7,28.0,32,317,274649,2,17,0.09765625,2.38,182787529217600
object_B10_layer_400.png,182787531163900,10,0.05,2500,1.5,7,0.0,32,317,277149,2,17,0.0,2.38,182787543596100
object_B10_layer_401.png,182787544331300,10,0.05,2500,1.5,7,40.8,33,320,279645,2,17,0.0,2.38,182787557707400
object_B10_layer_402.png,182787558445700,10,0.05,2500,1.5,7,18.4,33,322,282143,2,17,0.0,2.38,182787572294200
object_B10_layer_403.png,182787573149500,10,0.05,2500,1.5,7,58.4,33,328,284637,2,17,0.0,2.38,182787583487400
object_B10_layer_404.png,182787584393200,10,0.05,2500,1.5,7,26.4,33,331,287134,2,17,0.09765625,2.3653846153846154,182787596347900
object_B10_layer_405.png,182787597416700,10,0.05,2500,1.5,7,49.6,35,333,289630,2,17,0.13020833333333334,2.3846153846153846,182787607429000
object_B10_layer_406.png,182787611330300,10,0.05,2500,1.5,7,14.4,35,335,292128,2,18,0.0759548611111111,2.3773584905660377,182787622712000
object_B10_layer_407.png,182787623453400,10,0.05,2500,1.5,7,31.2,35,338,294625,2,19,0.0,2.3773584905660377,182787682628500
object_B10_layer_408.png,182787683428800,10,0.05,2500,1.5,7,24.8,35,341,297122,2,19,0.13020833333333334,2.3703703703703702,182787696954400
object_B10_layer_409.png,182787697955400,10,0.05,2500,1.5,7,16.8,35,343,299620,2,19,0.10850694444444445,2.388888888888889,182787708032400
object_B10_layer_410.png,182787708788800,10,0.05,2500,1.5,7,22.4,36,345,302117,2,19,0.0,2.4363636363636365,182787721386500
object_B10_layer_411.png,182787722394600,10,0.05,2500,1.5,7,30.4,37,347,304614,2,19,0.0,2.4074074074074074,182787733461400
object_B10_layer_412.png,182787734893500,10,0.05,2500,1.5,7,48.8,37,353,307107,3,19,0.043402777777777776,2.4,182787746281000
object_B10_layer_413.png,182787747207000,10,0.05,2500,1.5,7,56.0,38,359,309600,3,19,0.06510416666666667,2.3859649122807016,182787762411000
object_B10_layer_414.png,182787763332900,10,0.05,2500,1.5,7,48.8,38,364,312095,3,19,0.0,2.3859649122807016,182787773946100
object_B10_layer_415.png,182787778277600,10,0.05,2500,1.5,7,25.6,39,366,314592,3,19,0.0,2.3859649122807016,182787790144600
