object_layer,startTime,neigborhoodSize,percent,nOfPtsInIMG,epsilon,minPts,cluPts/outPts,TP,FP,TN,FN,incHits,similarity[%],AVGclusterheight,endTime
object_C4_layer_290.png,3898075276400,10,0.05,2500,1.5,7,35.2,0,44,2456,0,0,NaN,NaN,3898673515700
object_C4_layer_291.png,3898674828500,10,0.05,2500,1.5,7,12.8,0,60,4940,0,0,0.0,0.0,3898699727900
object_C4_layer_292.png,3898700815700,10,0.05,2500,1.5,7,0.0,0,60,7440,0,0,0.0,0.0,3898714387100
object_C4_layer_293.png,3898715507000,10,0.05,2500,1.5,7,36.8,0,106,9894,0,0,0.0,0.0,3898728599500
object_C4_layer_294.png,3898730641400,10,0.05,2500,1.5,7,0.0,0,106,12394,0,0,0.0,0.0,3898742750400
object_C4_layer_295.png,3898743765600,10,0.05,2500,1.5,7,23.2,0,135,14865,0,0,0.0,0.0,3898760560900
object_C4_layer_296.png,3898761491200,10,0.05,2500,1.5,7,13.6,0,152,17348,0,0,0.0,2.0,3898775512000
object_C4_layer_297.png,3898776405400,10,0.05,2500,1.5,7,9.6,0,164,19836,0,0,0.0,2.0,3898787439300
object_C4_layer_298.png,3898788988100,10,0.05,2500,1.5,7,9.6,0,176,22324,0,0,0.0,2.0,3898800695600
object_C4_layer_299.png,3898801706900,10,0.05,2500,1.5,7,32.0,0,216,24784,0,0,0.0,2.0,3898814538200
object_C4_layer_300.png,3898815732800,10,0.05,2500,1.5,7,21.6,0,243,27257,0,0,0.0,2.0,3898825858600
object_C4_layer_301.png,3898826725500,10,0.05,2500,1.5,7,24.0,0,273,29727,0,0,0.0,2.0,3898838689100
object_C4_layer_302.png,3898839608800,10,0.05,2500,1.5,7,27.2,0,307,32193,0,0,0.0,2.0,3898889111600
object_C4_layer_303.png,3898890089100,10,0.05,2500,1.5,7,13.6,0,324,34676,0,0,0.0,2.0,3898902362900
object_C4_layer_304.png,3898903312000,10,0.05,2500,1.5,7,17.6,0,346,37154,0,0,0.0,2.0,3898914398500
object_C4_layer_305.png,3898916222000,10,0.05,2500,1.5,7,12.8,0,362,39638,0,0,0.0,2.0,3898927960700
object_C4_layer_306.png,3898928869700,10,0.05,2500,1.5,7,20.8,0,388,42112,0,0,0.0,2.3333333333333335,3898941416000
object_C4_layer_307.png,3898942498900,10,0.05,2500,1.5,7,6.4,0,396,44604,0,0,0.0,2.2,3898952956100
object_C4_layer_308.png,3898954024900,10,0.05,2500,1.5,7,6.4,0,404,47096,0,0,0.0,2.2,3898966272900
object_C4_layer_309.png,3898967093000,10,0.05,2500,1.5,7,6.4,0,412,49588,0,0,0.0,2.2,3898978076500
object_C4_layer_310.png,3898979855700,10,0.05,2500,1.5,7,12.8,0,428,52072,0,0,0.0,2.1666666666666665,3898993381100
object_C4_layer_311.png,3898994226400,10,0.05,2500,1.5,7,18.4,0,451,54549,0,0,0.0,2.1666666666666665,3899005401100
object_C4_layer_312.png,3899006157500,10,0.05,2500,1.5,7,16.0,0,471,57029,0,0,0.0,2.1666666666666665,3899016559600
object_C4_layer_313.png,3899017385200,10,0.05,2500,1.5,7,29.6,0,508,59492,0,0,0.0,2.1666666666666665,3899029703000
object_C4_layer_314.png,3899030663200,10,0.05,2500,1.5,7,19.2,0,532,61968,0,0,0.0,2.142857142857143,3899042833300
object_C4_layer_315.png,3899044099500,10,0.05,2500,1.5,7,23.2,0,561,64439,0,0,0.0,2.142857142857143,3899055189000
object_C4_layer_316.png,3899056160000,10,0.05,2500,1.5,7,6.4,0,569,66931,0,0,0.0,2.142857142857143,3899067463200
object_C4_layer_317.png,3899068341400,10,0.05,2500,1.5,7,12.8,0,585,69415,0,0,0.0,2.142857142857143,3899078319400
object_C4_layer_318.png,3899079136100,10,0.05,2500,1.5,7,0.0,0,585,71915,0,0,0.0,2.142857142857143,3899093036800
object_C4_layer_319.png,3899094136700,10,0.05,2500,1.5,7,13.6,0,602,74398,0,0,0.0,2.142857142857143,3899107613200
object_C4_layer_320.png,3899108859200,10,0.05,2500,1.5,7,15.2,0,621,76879,0,0,0.0,2.142857142857143,3899119475400
